holdout_type,holdout_id,model,N_train,N_test,train_chi2,test_chi2,training_parameters,optimisation_success
survey_conditional,PantheonPlusSH0ES:survey=56,FRACTIONAL_FIXED,3386,36,7995.664212529971,87.56550362913042,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=56,LCDM,3386,36,3005.3732780695996,42.291467552701576,"{""Omega_m"": 0.33076666682462413}",True
survey_conditional,PantheonPlusSH0ES:survey=57,PATH_FREE,3337,85,3003.0080978430365,49.867473517045674,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6270887306426575}",True
survey_conditional,PantheonPlusSH0ES:survey=57,PETER_FIXED,3337,85,3100.126875352571,50.04369566293147,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=57,FRACTIONAL_FIXED,3337,85,7985.539483095883,97.03992144504517,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=57,LCDM,3337,85,2997.455216464804,50.22434883117109,"{""Omega_m"": 0.3295032293580281}",True
survey_conditional,PantheonPlusSH0ES:survey=63,PATH_FREE,3394,28,3028.492440320273,24.385573389671805,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.627955046085023}",True
survey_conditional,PantheonPlusSH0ES:survey=63,PETER_FIXED,3394,28,3125.956459079345,24.189293426064854,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=63,FRACTIONAL_FIXED,3394,28,8037.347847255303,44.065157456445775,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=63,LCDM,3394,28,3022.9456225463437,24.73118513298546,"{""Omega_m"": 0.3303249324804495}",True
survey_conditional,PantheonPlusSH0ES:survey=64,PATH_FREE,3369,53,3013.3612145603192,39.55160614321806,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6295198724705583}",True
survey_conditional,PantheonPlusSH0ES:survey=64,PETER_FIXED,3369,53,3107.367671160252,42.846150001296,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=64,FRACTIONAL_FIXED,3369,53,7962.33722455365,119.49630982177834,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=64,LCDM,3369,53,3008.573840139488,39.11770231070163,"{""Omega_m"": 0.33125139659368247}",True
survey_conditional,PantheonPlusSH0ES:survey=65,PATH_FREE,3387,35,3031.6982116545614,21.171708488298812,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6281188406045685}",True
survey_conditional,PantheonPlusSH0ES:survey=65,PETER_FIXED,3387,35,3128.0876949397243,22.065720253222814,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=65,FRACTIONAL_FIXED,3387,35,8025.963947377043,55.5499270530114,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=65,LCDM,3387,35,3026.6539230703256,21.009056175541517,"{""Omega_m"": 0.3304704134781929}",True
survey_conditional,PantheonPlusSH0ES:survey=150,PATH_FREE,3249,173,2875.35316930565,178.5350405011227,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.632993468429022}",True
survey_conditional,PantheonPlusSH0ES:survey=150,PETER_FIXED,3249,173,2963.2767065919543,189.44638939835622,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=150,FRACTIONAL_FIXED,3249,173,7724.168213807471,373.3957993182755,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=150,LCDM,3249,173,2871.7572748506163,176.43307984533084,"{""Omega_m"": 0.33346720502157806}",True
survey_conditional,DES_Dovekie_raw:survey=10,PATH_FREE,1799,1623,1624.3787753084425,1433.0314097794308,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6316006214726406}",True
survey_conditional,DES_Dovekie_raw:survey=10,PETER_FIXED,1799,1623,1688.4726541480711,1507.646896364176,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,DES_Dovekie_raw:survey=10,FRACTIONAL_FIXED,1799,1623,4284.485300429101,10741.638182432687,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,DES_Dovekie_raw:survey=10,LCDM,1799,1623,1620.760556682394,1449.0976912741294,"{""Omega_m"": 0.3324885414361901}",True
survey_conditional,DES_Dovekie_raw:survey=64,PATH_FREE,3391,31,3017.4384897055616,35.44837794068306,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6267258422645688}",True
survey_conditional,DES_Dovekie_raw:survey=64,PETER_FIXED,3391,31,3114.443088445072,35.72064249206903,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,DES_Dovekie_raw:survey=64,FRACTIONAL_FIXED,3391,31,7863.331226095203,220.9562053916349,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,DES_Dovekie_raw:survey=64,LCDM,3391,31,3010.929415033034,36.8009424548907,"{""Omega_m"": 0.328455430570924}",True
survey_conditional,DES_Dovekie_raw:survey=65,PATH_FREE,3400,22,3035.0306810790316,17.851292575755412,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6293577581272055}",True
survey_conditional,DES_Dovekie_raw:survey=65,PETER_FIXED,3400,22,3130.116778362125,20.075230259698056,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,DES_Dovekie_raw:survey=65,FRACTIONAL_FIXED,3400,22,7939.9034043679485,142.62187174059545,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,DES_Dovekie_raw:survey=65,LCDM,3400,22,3029.406718892862,18.256897926212226,"{""Omega_m"": 0.3308357625458784}",True
survey_conditional,DES_Dovekie_raw:survey=150,PATH_FREE,3305,117,2919.189399472028,133.70828595674763,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6286595370943163}",True
survey_conditional,DES_Dovekie_raw:survey=150,PETER_FIXED,3305,117,3010.8495767465092,139.62453244396318,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,DES_Dovekie_raw:survey=150,FRACTIONAL_FIXED,3305,117,7407.258541599792,709.5243011679805,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,DES_Dovekie_raw:survey=150,LCDM,3305,117,2912.009203177372,135.89193560907538,"{""Omega_m"": 0.32800987762336997}",True
high_z_conditional,z>=0.5,PATH_FREE,2337,1085,2101.3918787805487,1271.892700804317,"{""alpha"": 0.0, ""gamma_c"": 1.5249980472279212, ""p"": 0.246777437259727}",True
high_z_conditional,z>=0.5,PETER_FIXED,2337,1085,2163.119894478752,1096.844827232488,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
high_z_conditional,z>=0.5,FRACTIONAL_FIXED,2337,1085,4470.965124023461,8027.304111579532,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
high_z_conditional,z>=0.5,LCDM,2337,1085,2106.372378565068,949.9663641425383,"{""Omega_m"": 0.34551389438231134}",True
high_z_conditional,z>=0.8,PATH_FREE,3255,167,2880.6356014194657,189.0858902449885,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6147386504337051}",True
high_z_conditional,z>=0.8,PETER_FIXED,3255,167,2950.38756844048,286.8628335614612,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
high_z_conditional,z>=0.8,FRACTIONAL_FIXED,3255,167,7296.617474600171,1676.021163181903,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
high_z_conditional,z>=0.8,LCDM,3255,167,2881.543655321883,169.03041384878736,"{""Omega_m"": 0.3351696302102214}",True
high_z_conditional,z>=1.0,PATH_FREE,3376,46,3006.711399060481,66.1451820217818,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6201442359211892}",True
high_z_conditional,z>=1.0,PETER_FIXED,3376,46,3079.904775704633,149.88317344025444,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
high_z_conditional,z>=1.0,FRACTIONAL_FIXED,3376,46,7700.349251786645,735.1975744232819,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
high_z_conditional,z>=1.0,LCDM,3376,46,3007.399140878154,40.64698043828124,"{""Omega_m"": 0.333855690152843}",True
