model,gamma_c,full_chi2,full_p,full_alpha,low_z_chi2,low_z_p,low_z_alpha,high_z_conditional_chi2,high_z_delta_chi2_vs_LCDM,optimisation_success
GENERAL_FREE,1.4,3051.748544575283,2.1552751651501634,1.0644862938925732,2101.393500563363,0.3493691878045462,0.11394261863855576,1273.9258727007518,323.95950855821343,True
GENERAL_FREE,1.45,3050.6711849321996,2.165380871714445,1.0514654215227333,2101.392840063124,0.30811793577873386,0.06820355187116178,1273.441710309046,323.4753461665075,True
GENERAL_FREE,1.5,3049.7249521558174,2.171801270105279,1.036810383611944,2101.3921915412006,0.26613759549890104,0.022101267115983484,1272.9729438633774,323.006579720839,True
GENERAL_FREE,1.55,3048.920502908627,2.1729853382240396,1.0197113259458488,2101.391553777924,0.22351183311527748,-0.024322494896176577,1272.5176995376228,322.5513353950844,True
GENERAL_FREE,1.6,3048.2671697227483,2.166019822917509,0.9986494971051758,2101.3909257217215,0.1803107006442326,-0.07103291707720355,1272.0751997010452,322.1088355585068,True
GENERAL_FREE,1.65,3047.7721081014656,2.1449953940893005,0.9705364420324114,2101.3903064629067,0.13659765444923042,-0.11799823192195699,1271.64336008898,321.6769959464416,True
GENERAL_FREE,1.7,3047.4376946561333,2.097309621303333,0.9287331370746706,2101.3896952119085,0.09242367365271956,-0.16519321519620084,1271.2222737839766,321.25590964143817,True
GENERAL_FREE,1.75,3047.253591303766,2.0012909143689326,0.8615668495721611,2101.389091281182,0.047835147674416045,-0.2125947576590074,1270.8110777049055,320.84471356236713,True
GENERAL_FREE,1.8,3047.18340759871,1.854589990237222,0.7668653526270451,2101.3884940700923,0.0028738418826139214,-0.2601819469790213,1270.4083784974423,320.4420143549039,True
GENERAL_FREE,1.85,3047.176541122759,1.6980530452492146,0.6655100764824684,2101.3879030523217,-0.042426000117292174,-0.30793782958265636,1270.0141453646806,320.04778122214225,True
GENERAL_FREE,1.9,3047.200237505493,1.5556190454002816,0.5704638498459721,2101.387317765307,-0.08803416166762187,-0.35584744906938476,1269.628345443661,319.6619813011225,True
GENERAL_FREE,1.95,3047.239842427971,1.428618504191936,0.48285051741600143,2101.38673780135,-0.1339209838234015,-0.4038958478605213,1269.2493802848112,319.2830161422728,True
GENERAL_FREE,2.0,3047.2887407040853,1.3139239236025313,0.40126979546863406,2101.386162800142,-0.18006312286462348,-0.45207149751035414,1268.8773680668585,318.9110039243201,True
GENERAL_FREE,2.1,3047.402489106254,1.11080208452274,0.25109698016380877,2101.4093787662205,-0.19155049069986013,-0.5,1224.9169861611058,274.9506220185674,True
GENERAL_FREE,2.2,3047.528300720766,0.9314363907260618,0.11272733025137051,2101.606732508927,-0.12399352155737774,-0.5,1147.3475294667546,197.38116532421623,True
GENERAL_FREE,2.3,3047.660910787674,0.7678597103227183,-0.01777635438382531,2102.0159772127176,-0.05773152960319817,-0.5,1082.0044390087985,132.0380748662601,True
GENERAL_FREE,2.4,3047.797739596069,0.6154655876262299,-0.14270265115828398,2102.650568846333,0.007283066298651398,-0.5,1029.137691753204,79.17132761066568,True
GENERAL_FREE,2.5,3047.9373435140083,0.47137309909196373,-0.26348660632869947,2103.5227016235804,0.07109521289015386,-0.5,988.9016392344093,38.93527509187095,True
GENERAL_FREE,2.6,3048.0788341266452,0.3336659273598227,-0.38108411233052414,2104.64337845938,0.133747387396398,-0.5,961.3692680721537,11.402903929615263,True
GENERAL_FREE,2.7,3048.2216235073315,0.2010057655385893,-0.4961634180066708,2106.0224809148635,0.19527994874992444,-0.5,946.5443958173694,-3.4219683251690185,True
GENERAL_FREE,2.8,3049.15331897972,0.2429116861174657,-0.5,2107.6688377929718,0.2557311006927816,-0.5,944.3726226181868,-5.593741524351572,True
GENERAL_FREE,2.9,3051.774199158037,0.2897894765605878,-0.5,2109.5902917793233,0.31513726164066325,-0.5,954.7505691396259,4.7842049970875,True
GENERAL_FREE,3.0,3056.083853183195,0.33566275121659067,-0.5,2111.793763704235,0.3735327640775295,-0.5,977.5337103054597,27.567346162921353,True
GENERAL_FREE,3.1,3062.07623530441,0.3805738892138226,-0.5,2114.2853141421488,0.43095047693920047,-0.5,1012.5434702347368,62.57710609219839,True
GENERAL_FREE,3.2,3069.7412867323565,0.4245626047850716,-0.5,2117.070202173021,0.48742162826876484,-0.5,1059.5731004474515,109.60673630491306,True
GENERAL_FREE,3.3,3079.06551703325,0.4676661702982042,-0.5,2120.15294121328,0.5429759431339705,-0.5,1118.3927795493032,168.42641540676482,True
GENERAL_FREE,3.4,3090.032511734523,0.50991955279314,-0.5,2123.537351887106,0.5976418453382895,-0.5,1188.7543387370847,238.7879745945463,True
GENERAL_FREE,3.5,3102.6233757945947,0.5513557258009262,-0.5,2127.2266119564188,0.6514462944774848,-0.5,1270.394400043494,320.4280359009556,True
