scenario,model,galaxy,N_points,success,message,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,UGC05253,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138.19968787162995,138.07796693594986,0.12172093568009378,0.1173434949073686,0.0050897398060618495,1.1245056253142274,0.08721203695190259,1.091128014649996,0.08721203695190259,1.091128014649996,0.0,0.0,37.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC05253,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140.11675402142853,140.03550956475516,0.0812444566733725,0.1269883575505334,0.04370291367467613,1.135403798823184,0.07041595700270833,1.0729543913383421,0.07041595700270833,1.0729543913383421,0.0,0.0,37.0,0.0,1.0
baseline,RAR,UGC06786,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.261091176224184,35.62926928879048,15.631821887433698,0.8542821971853223,2.9548570710142417,2.3496871630433542,-0.6567268066570202,0.5185458605819266,-0.6567268066570202,0.5185458605819266,0.0,0.0,64.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06786,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.40356982007341,36.57512165420775,14.828448165865659,0.838718363280524,2.8925592112586966,2.31340013741911,-0.6354894459798351,0.5296761769878601,-0.6354894459798351,0.5296761769878601,0.0,0.0,64.0,0.0,1.0
baseline,RAR,UGC08699,41,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,25.515957396622568,25.29729981330081,0.21865758332175844,0.23113465299499528,0.46048427010896953,1.2600288946911327,0.020328275111233682,1.020536301711918,0.020328275111233682,1.020536301711918,0.0,0.0,73.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC08699,41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.551930482969617,25.320221121189714,0.23170936177990284,0.236043163745293,0.4801283100770653,1.2662289641718276,0.008610196144848706,1.0086473704999068,0.008610196144848706,1.0086473704999068,0.0,0.0,73.0,0.0,1.0
stellar_ml_tight,RAR,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,885.2224555025498,880.4945609110626,4.727894591487139,0.5560702134337056,1.7616462967019297,1.7438062313446403,-0.1911836306488584,0.8259808988158204,-0.1911836306488584,0.8259808988158204,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,454.77275677351,431.21651028555885,23.55624648795117,0.8026425889693364,2.748862762662256,2.2314298960342183,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,RAR,UGC03580,47,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,199.01168609915376,182.986359942843,16.025326156310765,0.07609448643896236,-0.15914193762413223,1.0790645263051615,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,63.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03580,47,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,193.94486786474064,177.91685427358686,16.028013591153783,0.07402687748748538,-0.16737261171943482,1.0768357477466046,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,63.0,0.0,1.0
stellar_ml_tight,RAR,UGC02487,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48.52354858635652,36.445237471382725,12.078311114973793,0.14615713301627004,0.19989142864028422,1.15737803606503,0.52044497976628,1.6827762845206469,0.52044497976628,1.6827762845206469,0.0,0.0,36.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02487,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49.082836998916015,36.846538505057055,12.236298493858959,0.13910296693465507,0.15302192130955403,1.1492424278815456,0.5242040277151617,1.6891138253586595,0.5242040277151617,1.6891138253586595,0.0,0.0,36.0,0.0,1.0
