scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
disk_bulge_decoupled,UGC02885,matched_control,UGC02487,19,-0.33070042600044935,-0.24099770617538496,15.971349467173397,15.640649041172948,0.4994970792150314,0.479986010884472,0.8422132811686668,0.8412089761279199,1.5572109907065097,1.5487024169835255,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC02916,matched_control,UGC06787,43,-0.32272039737509317,-0.6219143424586662,183.01332720434104,182.69060680696595,-1.696810574508629,-1.695510734575295,2.2468654322712567,2.2739732217001194,1.0568879888411993,1.0510172925172174,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC03205,matched_control,NGC5985,48,-0.4655481040138625,-0.36334689256381125,140.35888826487638,139.89334016086252,-0.3319178091001841,-0.3517378532140114,1.1253721944406792,1.1296670821302905,1.9910123528477708,1.9792164543361537,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC03546,matched_control,UGC03580,30,0.31285848290865736,0.10239404110542871,10.125039814943783,10.43789829785244,-0.07771955957468756,-0.07311152356746672,0.9882388695605153,0.9832195884316111,0.7205406643215275,0.7067397891465098,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC03580,candidate,UGC03580,47,-2.7767069767684234,-2.696715270394094,111.21103657941612,108.4343296026477,0.37207866582068294,0.3596463730719833,0.4219972043811604,0.42308385846393715,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC05253,matched_control,UGC06787,73,1.5838156299574848,1.5784188832207633,138.13081110426964,139.71462673422712,-0.06795738037551292,-0.0737918997949612,1.1364658660492146,1.1441655631966534,1.1080102754114898,1.0997006480818652,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC06786,matched_control,UGC09133,45,-0.3144268995535242,0.742028077891348,57.25893839501927,56.94451149546575,2.949759364224202,2.8960701314817343,0.5077805651537288,0.5164396890706864,0.5419478264595174,0.5527447974436029,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC06787,candidate,UGC06787,71,-3.0516700173236018,-2.3853549500278746,284.9315302561637,281.8798602388401,3.4514595558018644,3.4242036942599947,0.4841379338693165,0.49002174130211396,0.36787944117144233,0.3702029998618507,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC08699,matched_control,UGC03580,41,-0.3103795592343168,-0.3605072990839915,25.109232619398753,24.798853060164436,0.2981712350907156,0.25869565125157445,1.1186804129286523,1.141469129660835,1.0375897618957006,1.0311100065395309,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC09133,candidate,UGC09133,68,5.301542063495049,5.426937231349342,152.81966047153867,158.12120253503372,-2.3759536576055544,-2.3985259916121344,2.1764108623412084,2.176251531324284,1.5242273697956799,1.497760936740369,0.0,0.0,1.0,1.0,True
