fit_group,bcut_deg,quality_variable,smd_before,smd_after,abs_smd_before,abs_smd_after,weighted_ks_before,weighted_ks_after
all_catalogue_quality,25.0,zerr,-0.002548479893433326,0.00016751296129939727,0.002548479893433326,0.00016751296129939727,0.0030578629510236155,0.002770847995156478
all_catalogue_quality,25.0,g,-0.0003893057057231341,-0.00014376618850032018,0.0003893057057231341,0.00014376618850032018,0.007059129691175281,0.005153502420348066
all_catalogue_quality,25.0,bp_rp,0.02003680052924238,7.687795614028324e-05,0.02003680052924238,7.687795614028324e-05,0.014108532279657693,0.003962763057688168
all_catalogue_quality,25.0,w1,0.0029299599468323536,5.658578525328783e-07,0.0029299599468323536,5.658578525328783e-07,0.006110199001004513,0.003769146244526289
all_catalogue_quality,25.0,w2,-0.0003030528697229019,-2.235041838382359e-05,0.0003030528697229019,2.235041838382359e-05,0.005341845930193934,0.0042527869981897615
all_catalogue_quality,25.0,w1_w2,0.012162097547050311,9.274192971319144e-05,0.012162097547050311,9.274192971319144e-05,0.006713537002387415,0.0038912231122600893
all_catalogue_quality,25.0,pmra_error,-0.046974334306777214,2.281523205296909e-05,0.046974334306777214,2.281523205296909e-05,0.02164539043632574,0.006660689573416478
all_catalogue_quality,25.0,pmdec_error,0.01651353299784521,-0.00014241032544655218,0.01651353299784521,0.00014241032544655218,0.017147080814247873,0.003825228642711731
all_catalogue_quality,30.0,zerr,-0.0027167107915861822,-5.375736437994881e-05,0.0027167107915861822,5.375736437994881e-05,0.004776075741137253,0.003585695261847266
all_catalogue_quality,30.0,g,0.0013847350097427377,6.509059734972353e-05,0.0013847350097427377,6.509059734972353e-05,0.00669060227540319,0.005332710856773448
all_catalogue_quality,30.0,bp_rp,0.028614296257936413,0.00026193753662050726,0.028614296257936413,0.00026193753662050726,0.01901910716524463,0.003776218757015337
all_catalogue_quality,30.0,w1,6.936234966654601e-06,-1.621408424553913e-05,6.936234966654601e-06,1.621408424553913e-05,0.004339019806209987,0.0036034105093962765
all_catalogue_quality,30.0,w2,-0.003427015745548211,-4.0235358002240845e-05,0.003427015745548211,4.0235358002240845e-05,0.0030126119148863595,0.003641212195687027
all_catalogue_quality,30.0,w1_w2,0.013905390652811779,0.00010260259815434953,0.013905390652811779,0.00010260259815434953,0.00809018116593374,0.003528265436392175
all_catalogue_quality,30.0,pmra_error,-0.0542821577994468,2.2588793389229048e-05,0.0542821577994468,2.2588793389229048e-05,0.02629333039905224,0.0075225002064535085
all_catalogue_quality,30.0,pmdec_error,0.02154488443718579,3.545719610266567e-05,0.02154488443718579,3.545719610266567e-05,0.01965378241293636,0.0038659528908231433
all_catalogue_quality,35.0,zerr,-0.0029996199357571873,1.24850916941759e-05,0.0029996199357571873,1.24850916941759e-05,0.006371173763953214,0.005713508617393087
all_catalogue_quality,35.0,g,0.002348958290723605,-0.00017496328317320948,0.002348958290723605,0.00017496328317320948,0.005691832451219403,0.005128075745135852
all_catalogue_quality,35.0,bp_rp,0.02920103251868615,0.0001144191886895268,0.02920103251868615,0.0001144191886895268,0.018504205344550273,0.004340075633381554
all_catalogue_quality,35.0,w1,0.003233823491045115,5.580046570988475e-05,0.003233823491045115,5.580046570988475e-05,0.006592045636765298,0.004031475687648001
all_catalogue_quality,35.0,w2,-5.7420539598088883e-05,3.929844389601782e-05,5.7420539598088883e-05,3.929844389601782e-05,0.003865479265207805,0.0030269334552350258
all_catalogue_quality,35.0,w1_w2,0.012319542917249432,4.924384836025664e-05,0.012319542917249432,4.924384836025664e-05,0.008720866973166763,0.004270365655113406
all_catalogue_quality,35.0,pmra_error,-0.04880486280211527,-0.000159559385511462,0.04880486280211527,0.000159559385511462,0.0271316477053114,0.0076014916345207295
