fit_group,n_bcuts,N_min,N_max,ess_min,ess_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,amp_ratio_vs_baseline,snr_delta_vs_baseline,max_direction_sep_vs_baseline_deg,mock_id
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0013220529377651075,0.0007407884037874566,0.001962119165821609,2.878670721085394,2.0673729366163167,133.88779769608678,0.48964783874487167,0.35457460589040346,0.43774137720892,-1.9065288024396243,132.69385640667727,64
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001268392411361738,0.0007626293811701866,0.0018856499290217208,2.43716172886122,1.8850337362911542,140.25673253040293,0.5694788576827249,0.337132381788325,0.41997398525465013,-2.3480377946637985,144.70660603808,65
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0012889596512317115,0.0002071291755822164,0.002260244617581324,2.659359088873978,1.6885758744997952,173.28129606598998,0.29342068793552617,0.16086579304994286,0.4267839484935564,-2.1258404346510402,163.48303683477994,66
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001449700545623697,0.0009641689186105759,0.0019893518884252556,3.1085136367429675,1.9728422299608777,170.21281794162235,0.31843977441736177,0.20697813254171715,0.4800064318563541,-1.6766858867820509,151.59339443953084,67
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0012737893424606833,0.0004316848787809842,0.002157772337662271,3.345584266993254,1.8625193101136766,145.57450014855743,0.2973194339617047,0.23487835407738145,0.4217609485331007,-1.4396152565317646,165.49175461015236,68
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0008940760120721399,0.0005282665862058601,0.001554346295243412,2.126598450542707,1.3031148105471868,173.9348439606569,0.3530648520933873,0.1543254692670189,0.29603509335679407,-2.6586010729823113,140.0501952687828,69
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0013054587277671762,0.0008348945504472481,0.0022636494804528233,2.3427123453451797,1.7641161971990753,155.15772077019142,0.3826999829671403,0.20156613846559815,0.43224691315934266,-2.4424871781798387,168.5885439867619,70
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0010648735104975113,0.0006388465339567316,0.0020078114145183194,2.336132952891875,1.5367751221379635,144.2949788006527,0.5041170127159881,0.2799640898249896,0.3525873917170615,-2.4490665706331436,168.82754647285614,71
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001153700574478334,0.00021924201813299868,0.0018343524263856913,2.4761097427551255,1.6502253970239114,149.26742312163466,0.1947941746959461,0.11172706453853581,0.38199868093980716,-2.309089780769893,153.54917026688616,72
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0010788871738782629,0.0006110975601785413,0.0015804286719555104,2.1683929671509024,1.5434199416709156,154.97403661104835,0.3310686230937934,0.16154551798679018,0.3572274179465727,-2.616806556374116,166.14003384796706,73
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.000967135684709216,0.0004377511257807892,0.0014978320735095094,2.5222850146893734,1.5517629985718617,135.3957214900703,0.26182458411441484,0.16473688998296868,0.3202256842212189,-2.262914508835645,134.23113834749992,74
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0010025918346818928,0.00039139396676508685,0.0019255810829941582,3.0288817874553002,1.4183197601686206,138.5569110427611,0.6258384110089167,0.4647145941832588,0.33196547426760137,-1.7563177360697182,164.61789852384618,75
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0011342601125797324,0.0008020680989736884,0.0015090496018486958,2.1448443271538986,1.710775070766277,165.92586282441252,0.31354547159596835,0.14347591029069712,0.3755618021114472,-2.64035519637112,121.31156872625066,76
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0009770036714925269,0.00045344162040985084,0.0014117533407404137,1.772976660215487,1.3869796421893794,171.93912817969743,0.4396605094453528,0.16169444520802018,0.3234930466704927,-3.0122228633095314,176.42217918096338,77
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0011135227980286772,0.0007560775642318405,0.0013014112865858572,2.2196956976853235,1.6870460224925603,134.35754854401827,0.5996714387963084,0.33396400407280036,0.3686955259042789,-2.565503825839695,159.09156420465507,78
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001353256330518644,0.00035458041638524243,0.0025782379741911654,2.650132637846815,1.8211316467600749,164.3084382991441,0.3468781394143205,0.19763793984580716,0.4480730482996511,-2.1350668856782034,150.97598132011305,79
