direction_label,amp_scale,bcut_deg,n_mocks,raw_pass_rate,matched_pass_rate,scanlaw_colour_pass_rate,raw_snr_p50,raw_snr_p95,matched_snr_p50,matched_snr_p95,scanlaw_colour_snr_p50,scanlaw_colour_snr_p95,raw_sep_p50_deg,matched_sep_p50_deg,scanlaw_colour_sep_p50_deg,raw_amp_ratio_p50,matched_amp_ratio_p50,scanlaw_colour_amp_ratio_p50,scanlaw_colour_delta_bic_p50,scanlaw_colour_delta_bic_p05,scanlaw_colour_delta_bic_p95
cmb,2.0,10.0,500,0.674,0.992,0.066,5.5666435444113445,7.115276051127043,8.827516967110626,10.364954462314342,5.415712065130464,6.955522335098164,22.395049896307903,14.046187131648065,20.776239690036398,0.6300604871354377,0.9715620039156473,0.757323667844867,7.171942068714998,-11.874651707544398,21.942096058161404
cmb,2.0,15.0,500,0.69,0.992,0.024,5.3862187379618565,6.864993421615201,8.59125097289878,10.118109091251911,5.028759111388544,6.590436499551032,20.909888709155815,13.137478652165019,20.925066777306327,0.62519923723546,0.9649470968869731,0.7651342722017425,11.072141936194384,-7.070966130790476,24.694182486318457
cmb,2.0,25.0,500,0.764,0.998,0.0,5.0168589239343655,6.560302766393365,7.889296219497124,9.509803573829776,4.286330204594368,5.819444489294354,19.927807544285454,12.475551953844132,21.19708455698729,0.6403431249114315,0.9578547822708949,0.7699513409715354,17.45447092941322,1.9626854382382593,28.261739956417294
cmb,2.0,35.0,500,0.634,0.978,0.0,4.543060272564192,6.04886773659997,7.120465655597254,8.710573534476875,3.6500886462689826,5.262171086979825,23.068845836137104,14.239540859617382,24.112778041839842,0.6777461281043482,0.977824092187539,0.7965318719880023,21.71658407941868,7.350434480201511,30.761390195614513
locked_b15,0.0,10.0,500,0.0,0.0,0.0,9.00269417324624,10.553201994099473,6.765823306824474,8.158208016975447,6.676365726551802,8.148034811705847,59.053561719395674,86.11958963480248,62.46352972459196,nan,nan,nan,-8.069933314123773,-29.881765503578933,9.904761496227001
locked_b15,0.0,15.0,500,0.0,0.022,0.0,7.0112838867032865,8.610574079239157,4.904057468865911,6.494502835959784,5.2608339937484345,6.880706326216597,54.256636081877794,84.76808146595529,61.850921727434894,nan,nan,nan,8.684402400496765,-10.980502021645952,22.73172639575641
locked_b15,0.0,25.0,500,0.002,0.264,0.0,6.055144300482196,7.672643100330295,3.569392860007937,5.301108027694674,4.665003582903493,6.28737555765468,44.89302395146321,79.8350670544913,59.44485241300943,nan,nan,nan,14.065041808673413,-3.7015323404644724,26.47763643098005
locked_b15,0.0,35.0,500,0.036,0.634,0.0,4.855187587305453,6.531330366191578,2.585882850063924,4.227052694940189,3.8021941211218535,5.450681269070171,48.85464201278767,89.94786052049092,66.55313477946146,nan,nan,nan,20.58308066501195,5.3308820211910675,29.835438936825085
locked_b15,0.25,10.0,500,0.0,0.0,0.0,9.740167130168327,11.32177499340288,7.119065414157739,8.744227035920547,7.1628707359562,8.799615897041479,52.72023892048589,76.0268992134563,55.12186590942153,7.766869046274979,5.926651241208122,6.451111290196365,-14.801506014468032,-40.92076078758546,5.323162268314623
locked_b15,0.25,15.0,500,0.0,0.0,0.0,7.813742786570243,9.468755568776269,5.365133405539135,6.992746434863068,5.812544410126291,7.572460124609391,46.35385669143094,70.76613443922597,52.80548701405951,6.2796369520828295,4.46891433241988,5.242725730425918,2.575763384011225,-20.97631449784094,19.583441256757936
locked_b15,0.25,25.0,500,0.0,0.0,0.0,6.9423957463321795,8.53023497847567,4.21052280149023,5.884877306511134,5.231718620534124,6.9515299519109135,38.87928145587222,66.23681945121547,52.098586844446174,5.901025355160424,3.655920079507278,4.972076809527689,8.45691396750044,-12.49231962262129,22.209892030639438
