window_index,tag,bcut_deg,z_center,N,ess,baseline_snr,baseline_amp,weighted_snr,weighted_amp,weighted_l_deg,weighted_b_deg,weighted_priority,amp_ratio_weighted_vs_baseline,direction_sep_weighted_vs_baseline_deg
33,z0p50_0p60,15.0,0.55,22461,22315.219207787253,2.1592314862110973,0.000755025695838045,1.0941327809221566,0.0003888994805814649,266.3153953252493,15.206488823243967,0.007022147535552067,0.5150811193913125,4.198757943570443
34,z0p50_0p75,15.0,0.625,58640,58509.452394100364,1.8191447318048874,0.0010474233020008503,0.41051768499019164,0.0002399103230682703,286.4123343999855,-7.5395482829870515,0.002964114564427117,0.2290481055844178,5.617596095701521
35,z0p60_0p70,15.0,0.6499999999999999,22623,22443.299295565976,3.0723803810897907,0.0008940937543540969,3.135332296726158,0.0009153926684263452,345.0987186045405,-61.930529933845136,0.02336248362047563,1.0238217904649551,0.3876069556721611
36,z0p70_0p80,15.0,0.75,28012,27836.43700966319,2.3588926355377837,0.0006794789705703409,2.5594967109847033,0.0007365246642909475,304.6225374179091,45.89043001086746,0.021030869751573943,1.083955054080222,1.387430254605455
37,z0p75_1p00,15.0,0.875,79399,79311.68114163709,1.6198530499687398,0.000791243790607379,1.1556980124393954,0.000562532362094813,251.21273571028553,-11.922484723554081,0.010259530347574385,0.7109469531040474,2.610234461772885
38,z0p80_0p90,15.0,0.8499999999999999,30414,30366.48720696312,1.9014976178599625,0.0006039127571931943,2.1135511070527833,0.0006724170157573323,270.33396539116825,-11.397690304759985,0.01853106128043328,1.1134340312374345,0.39620628115581896
39,z0p90_1p00,15.0,0.95,34529,34297.62171457389,2.6645522891780544,0.0006502143406473942,2.2921276158267885,0.000580900773767411,179.87975664521667,40.977684266694034,0.020969711883284246,0.8933988954919538,7.044572890283051
40,z1p00_1p10,15.0,1.0499999999999998,34145,33778.021691191796,2.2505792713324975,0.0005132944329934158,2.25921570336272,0.0005213702025345336,251.9466491797529,74.90622238690554,0.02122684367690116,1.0157332108474695,3.6457772780992728
41,z1p00_1p50,15.0,1.25,185739,185584.5209876559,3.59778438264802,0.002249725268613955,1.4645590018185748,0.0009239082729733758,150.16764346084813,-27.190531355882833,0.014060190552269848,0.41067604380982536,5.4414473208971605
42,z1p10_1p20,15.0,1.15,36162,36105.78708045183,1.1825739843897114,0.0003374257521899849,1.2549062154555557,0.00035947213604350546,320.8196258058721,24.644560664362455,0.011969788661647805,1.0653369925396432,0.5326531057805467
