mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par_cmb,max_abs_par_cmb_window_index,max_abs_par_cmb_tag,max_abs_par_cmb_bcut_deg,max_abs_par_cmb_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
777,3.5126278046610353,149,z0p75_1p00,35.0,0.0023467287485913315,202.4860889983489,-19.405297188646063,87.051418266516,0.031182810019363346,149,z0p75_1p00,35.0,3.5126278046610353,0.0023467287485913315,202.4860889983489,-19.405297188646063,87.051418266516,0.0015668709579022774,113,z0p10_0p30,30.0,2.498718687228433,1.9728941130184339,25.0,0.0189403548331246,25.0
778,3.5494279262313135,89,z0p50_0p60,25.0,0.0012667955895272886,257.5453372623768,35.43580538120077,13.682465304004767,0.033359348235541125,153,z1p00_1p50,35.0,3.4748272842770977,0.0024045353279883363,58.79249596925671,32.229727399646244,96.40868985191705,0.0012308459018481608,89,z0p50_0p60,25.0,3.5494279262313135,3.4748272842770977,35.0,0.033359348235541125,35.0
779,3.547947279799484,126,z1p10_1p20,30.0,0.0010304159787317424,301.720507698337,41.19871964709983,27.39744130973315,0.03384171549939391,126,z1p10_1p20,30.0,3.547947279799484,0.0010304159787317424,301.720507698337,41.19871964709983,27.39744130973315,0.0015600821460931744,141,z0p10_0p30,35.0,1.8590200004081485,2.834635939805197,10.0,0.027213325929842446,10.0
780,4.463973642111311,72,z1p30_1p40,20.0,0.0012353576470254882,95.0334718686954,-27.69097460288567,157.73415422993654,0.04285450345127325,72,z1p30_1p40,20.0,4.463973642111311,0.0012353576470254882,95.0334718686954,-27.69097460288567,157.73415422993654,0.0012074861125685895,29,z0p10_0p30,15.0,1.9171186788077725,2.1626333881562694,35.0,0.02076190682275076,35.0
781,4.239848578957825,49,z1p70_1p80,15.0,0.0013645625426246318,159.54487198946643,-3.6044138367536847,102.29943257900088,0.039137424014167886,49,z1p70_1p80,15.0,4.239848578957825,0.0013645625426246318,159.54487198946643,-3.6044138367536847,102.29943257900088,0.002057022183767537,74,z1p50_2p50,20.0,3.234519362181433,2.5696388845592524,10.0,0.02466927745660114,10.0
782,4.487157175299304,98,z1p10_1p20,25.0,0.001435069990004254,199.290148255204,-22.53595436019752,91.34225858266193,0.042800268592526884,98,z1p10_1p20,25.0,4.487157175299304,0.001435069990004254,199.290148255204,-22.53595436019752,91.34225858266193,0.002645221528157951,158,z1p50_2p50,35.0,2.731169350386095,2.5320805531040014,15.0,0.024308706597775773,15.0
783,4.100639560238005,52,z2p00_2p10,15.0,0.0014586827599437169,242.298395593461,2.3233081861734752,49.58677257409734,0.03599586206837379,52,z2p00_2p10,15.0,4.100639560238005,0.0014586827599437169,242.298395593461,2.3233081861734752,49.58677257409734,0.0016859877156287758,113,z0p10_0p30,30.0,2.0884955290818596,2.9280190847247387,30.0,0.02810983116473474,30.0
784,4.151823019009411,44,z1p30_1p40,15.0,0.001203834723514453,134.44105636751277,-10.600290392683851,123.65926803710008,0.039857832541560945,44,z1p30_1p40,15.0,4.151823019009411,0.001203834723514453,134.44105636751277,-10.600290392683851,123.65926803710008,0.0016391984550230853,158,z1p50_2p50,35.0,1.6054169812252668,1.8893642249462792,20.0,0.01813844371746048,20.0
785,3.9646507873464207,77,z1p70_1p80,20.0,0.001106981926901354,43.744400294553465,-36.00258609730171,148.1606599721125,0.036597113326774046,77,z1p70_1p80,20.0,3.9646507873464207,0.001106981926901354,43.744400294553465,-36.00258609730171,148.1606599721125,0.0013813444479510574,87,z0p30_0p50,25.0,2.69371858350608,2.820820013322111,30.0,0.02708068903452643,30.0
786,3.1574744361825577,6,z0p50_0p75,10.0,0.0015782193177278166,266.8719435641072,32.817895834202936,15.58350567575262,0.028720849076968376,157,z1p40_1p50,35.0,3.0066092667317776,0.001230131033027767,274.4295415703108,-2.754659156850607,51.809913218620714,0.0015224613588390988,130,z1p50_2p50,30.0,1.9359636541029799,2.01993206114855,30.0,0.01939193275731611,30.0
