fit_group,bcut_deg,N,ess,variables,a0,amp,l_deg,b_deg,formal_snr,rms_resid,amp_ratio_vs_baseline_same_bcut,direction_sep_vs_baseline_same_bcut_deg,propensity_min,propensity_p01,propensity_p50,propensity_p99,propensity_max,weight_min,weight_p99,weight_max
wise_w2_only,35.0,118193,118189.68169901642,w2,1.207013216918597,0.004073524232781845,146.0767696515419,-25.297371927539587,4.79055176296652,0.14606341996428598,1.0021427219608574,0.22021951777187912,0.49730371250876587,0.4973180325842687,0.4973484731904734,0.4974018347987112,0.49745452237287285,0.9946399387320118,1.0053868495673366,1.0054217375702825
wise_w1_w2_only,10.0,192357,192328.40641139584,w1_w2,1.206598741894915,0.0018299548248585634,144.68353983322635,-36.173106725083365,3.087864792099577,0.14613304975073532,0.7431124372078521,1.9716872858227683,0.44104703099262765,0.47834812515557995,0.49805191722819675,0.5009469334511754,0.5009492909495367,0.8842461895620989,1.03531052174624,1.1180716284906802
wise_w1_w2_only,15.0,183527,183491.7402988057,w1_w2,1.206871888921548,0.0018866138665420364,139.35298602625468,-34.45797878263174,3.0946856543253887,0.14616807715590263,0.7402284618456121,2.1662832789382143,0.42843584696972176,0.4747192513993127,0.4978597774040529,0.5001299524437879,0.5001308074236811,0.8589098272207204,1.0406128397503278,1.1433478112532354
wise_w1_w2_only,20.0,169941,169912.068003,w1_w2,1.2070261075961126,0.001982636947485867,140.19971299670004,-35.46201343817946,3.1497317527283193,0.1461848852225541,0.7616398091499302,2.349253485542626,0.4394865837746833,0.47733553947698315,0.4974802416978342,0.5002679180621734,0.5002698954984518,0.8806449803508598,1.036928605574993,1.1212171120062082
wise_w1_w2_only,25.0,153651,153630.65167532073,w1_w2,1.2071131327549407,0.0028041425652774628,145.49971393333533,-32.67667973106352,4.136103270876799,0.14616670099722798,0.8769816117973194,1.269107907471624,0.40937137140026614,0.4780584887304937,0.49807145935349273,0.4991463933997724,0.49914676075755765,0.8188500837179957,1.0339459906270525,1.1365081085108661
wise_w1_w2_only,30.0,136052,136034.80288841575,w1_w2,1.2071722419556024,0.002770580383385953,139.4122818084805,-31.136486409945313,3.7795919051677815,0.1461617210830017,0.8539723034806196,1.2943049568641203,0.44507091559116896,0.48022762404618907,0.4977143550424138,0.4992202236429076,0.49922079062553665,0.8917038367339103,1.0317995704230183,1.1099982205572765
wise_w1_w2_only,35.0,118193,118183.36916909638,w1_w2,1.207019381375196,0.003583730139824878,145.74859293737333,-25.01744803312934,4.20009773293403,0.14606832397326594,0.8816466705157325,0.3717936997357603,0.4543711371921252,0.483663030627433,0.4985072496743295,0.49998268637240695,0.49998322588200705,0.9100199500024946,1.0263342889683074,1.0913463435043336
wise_w1_plus_w2,10.0,192357,192324.88122080936,"w1,w2",1.2065910316177875,0.0013012931941439165,144.6638013530026,-34.95493827666811,2.1818266820437278,0.14613618844429066,0.528432256297374,3.188024812125233,0.4559614799010456,0.4830796385103325,0.4966615168873564,0.5089108060454155,0.5383168551712073,0.9180608267349024,1.0301971785767159,1.0882580422371797
wise_w1_plus_w2,15.0,183527,183496.17055518125,"w1,w2",1.2068655447139547,0.0015945520339823045,139.49281601653934,-34.51233744991059,2.616240387632753,0.14616888387783125,0.6256356005751929,2.1312778780613484,0.4642997370531447,0.48291877667696637,0.4961256920606357,0.5068504310841683,0.5349107733076102,0.9335414699091699,1.0302791283032313,1.0715801637949993
wise_w1_plus_w2,20.0,169941,169913.70763345764,"w1,w2",1.2070197875253879,0.0016875752301678095,140.27327304338397,-34.960986008811346,2.671427738255588,0.1461863638584121,0.6482903881424424,2.852332358546189,0.46479760640691464,0.48341790511304045,0.49612638298043055,0.5064945861990099,0.5336573716721714,0.9349115783670773,1.0293797132618114,1.0705762151912255
wise_w1_plus_w2,25.0,153651,153636.00998036773,"w1,w2",1.2071067004292564,0.0025169132100233632,145.57447701609613,-32.798858296712694,3.716226226069576,0.1461673264763334,0.7871520624565137,1.1475588121277145,0.4737893069023583,0.4878063684214987,0.4965155198620662,0.5038241797383347,0.5226468932348026,0.9521662568575392,1.021789096285724,1.0525223808038016
wise_w1_plus_w2,30.0,136052,136036.9673343715,"w1,w2",1.2071676655944947,0.002623802456325238,139.41306548182737,-31.230180233514577,3.582773100382798,0.14616263864769868,0.8087311384078472,1.200640838308864,0.47652320851150476,0.4867638410264258,0.49636773769018694,0.5037339062488604,0.5234803211100324,0.9536270747327256,1.0235632163486583,1.0470745572121833
