mock_id,max_snr,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_priority,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
88,10.52684960462767,z1p00_1p50,10.0,0.005383739919970192,0.10106080476946637,z1p00_1p50,10.0,10.52684960462767,10.52684960462767,10.0,0.10106080476946637,10.0
89,10.697758604985417,z1p50_2p50,15.0,0.009594133278560355,0.09475749988043639,z1p50_2p50,15.0,10.697758604985417,9.26440917942144,10.0,0.08894101108601121,10.0
90,10.589915085287883,z1p50_2p50,15.0,0.009121484493667176,0.09380225470411668,z1p50_2p50,15.0,10.589915085287883,8.493220901744639,10.0,0.08153738028496561,10.0
91,10.28722495591802,z1p50_2p50,15.0,0.00891382131350173,0.0911211173783775,z1p50_2p50,15.0,10.28722495591802,8.805747095176587,10.0,0.08453772224918309,10.0
92,10.210166595110358,z1p50_2p50,15.0,0.009198298272080773,0.09646613206279864,z1p00_1p50,10.0,10.048252301984853,10.048252301984853,10.0,0.09646613206279864,10.0
93,10.166824530798895,z1p50_2p50,15.0,0.009024287131803177,0.09005464694376578,z1p50_2p50,15.0,10.166824530798895,8.947404800724186,10.0,0.08589767724636886,10.0
94,9.889996589423117,z1p50_2p50,10.0,0.00867749088405461,0.08760258903234569,z1p50_2p50,10.0,9.889996589423117,8.292662405409512,10.0,0.0796119606386099,10.0
95,9.617988117114121,z1p00_1p50,10.0,0.005236333990187343,0.09233547128396512,z1p00_1p50,10.0,9.617988117114121,9.617988117114121,10.0,0.09233547128396512,10.0
96,10.597423802844322,z1p50_2p50,15.0,0.009498482090742657,0.09386876464598665,z1p50_2p50,15.0,10.597423802844322,7.627060849021938,10.0,0.07322199293974899,10.0
97,10.945534590810803,z1p00_1p50,10.0,0.005698473039821928,0.10508030188757468,z1p00_1p50,10.0,10.945534590810803,10.945534590810803,10.0,0.10508030188757468,10.0
98,10.30374122746363,z1p00_1p50,10.0,0.005248220581424348,0.09891889973673033,z1p00_1p50,10.0,10.30374122746363,10.30374122746363,10.0,0.09891889973673033,10.0
99,10.753745215209738,z1p50_2p50,15.0,0.009603739107892301,0.09525341228671978,z1p50_2p50,15.0,10.753745215209738,8.954754513342472,10.0,0.08596823661597378,10.0
100,11.015674126564557,z1p50_2p50,15.0,0.009403656622216114,0.09757349911077846,z1p50_2p50,15.0,11.015674126564557,9.055657905215739,15.0,0.08693693839947778,15.0
101,11.145266584918776,z1p50_2p50,15.0,0.00967320725934826,0.09886802396322543,z1p00_1p50,10.0,10.29844182758821,10.29844182758821,10.0,0.09886802396322543,10.0
102,11.506767260916973,z1p50_2p50,15.0,0.010436619881767004,0.10192345309067065,z1p50_2p50,15.0,11.506767260916973,9.977607930525798,10.0,0.09578792563825289,10.0
103,10.181457414339855,z1p50_2p50,15.0,0.008801095413738287,0.09018426058635973,z1p50_2p50,15.0,10.181457414339855,8.648665292775462,10.0,0.08302969145540055,10.0
104,10.61507739012855,z1p50_2p50,15.0,0.009451762717221483,0.0940251347658167,z1p50_2p50,15.0,10.61507739012855,9.011893140592173,10.0,0.08651678398485979,10.0
105,10.12799236605249,z1p00_1p50,10.0,0.00538108336557775,0.09723165977049018,z1p00_1p50,10.0,10.12799236605249,10.12799236605249,10.0,0.09723165977049018,10.0
106,9.379094626398718,z1p50_2p50,10.0,0.008031827745534967,0.08307717445833969,z1p50_2p50,10.0,9.379094626398718,8.025872412061819,10.0,0.07705069944035874,10.0
107,11.27364927869732,z1p50_2p50,15.0,0.010238327585279604,0.09985856473527141,z1p50_2p50,15.0,11.27364927869732,9.226205964387827,10.0,0.08857424915807595,10.0
108,11.076692616115094,z1p50_2p50,15.0,0.010505424837233008,0.09811398237739423,z1p50_2p50,15.0,11.076692616115094,8.559964880717784,10.0,0.08217814181209687,10.0
109,10.549877314242366,z1p50_2p50,15.0,0.00940738033774132,0.0934476122761888,z1p50_2p50,15.0,10.549877314242366,7.4438138598405015,10.0,0.07146276877546373,10.0
110,10.067948674056664,z1p50_2p50,10.0,0.008713448261035475,0.09186255622579033,z1p00_1p50,10.0,9.56872761790747,9.56872761790747,10.0,0.09186255622579033,10.0
111,10.954582635841959,z1p00_1p50,10.0,0.005631640409455458,0.1051671657401785,z1p00_1p50,10.0,10.954582635841959,10.954582635841959,10.0,0.1051671657401785,10.0
112,11.79856577468919,z1p00_1p50,10.0,0.005914235126504438,0.11326964828977869,z1p00_1p50,10.0,11.79856577468919,11.79856577468919,10.0,0.11326964828977869,10.0
113,10.560352353936372,z1p50_2p50,15.0,0.009270816995514618,0.09354039699953166,z1p50_2p50,15.0,10.560352353936372,9.211346437531745,10.0,0.08843159339695356,10.0
114,11.092389123232337,z1p00_1p50,10.0,0.005669036889767786,0.10649014792774605,z1p00_1p50,10.0,11.092389123232337,11.092389123232337,10.0,0.10649014792774605,10.0
115,9.624577923615018,z1p00_1p50,10.0,0.00505727339113772,0.09239873533477505,z1p00_1p50,10.0,9.624577923615018,9.624577923615018,10.0,0.09239873533477505,10.0
116,10.154308206487809,z1p50_2p50,15.0,0.008924711364100996,0.09609966104492804,z1p00_1p50,10.0,10.010079389168864,10.010079389168864,10.0,0.09609966104492804,10.0
117,9.8050098257923,z1p50_2p50,15.0,0.008648953387609024,0.08684980206622059,z1p50_2p50,15.0,9.8050098257923,8.67715029798337,10.0,0.0833031557546253,10.0
118,10.6466532941961,z1p50_2p50,15.0,0.009520367563525884,0.09430482454349697,z1p50_2p50,15.0,10.6466532941961,9.076369860362488,10.0,0.08713577916704791,10.0
119,10.669891527376942,z1p50_2p50,10.0,0.009433587678619054,0.09451066176222324,z1p50_2p50,10.0,10.669891527376942,8.618696377429687,10.0,0.08274198118911343,10.0
120,10.708576656194504,z1p00_1p50,10.0,0.005350917317961291,0.10280543709247905,z1p00_1p50,10.0,10.708576656194504,10.708576656194504,10.0,0.10280543709247905,10.0
121,10.829883158688558,z1p50_2p50,15.0,0.009754440453416221,0.09592781908878846,z1p50_2p50,15.0,10.829883158688558,9.399846173940288,10.0,0.09024124545580933,10.0
122,10.274209855866207,z1p00_1p50,10.0,0.005058984052156126,0.09863539001713961,z1p00_1p50,10.0,10.274209855866207,10.274209855866207,10.0,0.09863539001713961,10.0
123,9.947830956105385,z1p00_1p50,10.0,0.005162889051098664,0.09550205806043514,z1p00_1p50,10.0,9.947830956105385,9.947830956105385,10.0,0.09550205806043514,10.0
124,11.121918835327932,z1p50_2p50,10.0,0.00966882666980826,0.09851458250494392,z1p50_2p50,10.0,11.121918835327932,8.372442193712066,15.0,0.08037786971046074,15.0
