gate,case_label,frame,prior_config,offset_dataset,offset_type,n_offsets,max_abs_pull_sigma,n_abs_pull_ge_3,n_abs_pull_ge_5,median_abs_pull_sigma
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.381294185479334,6,4,2.7293357965577565
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.2864991256177587,0,0,0.6019407677364785
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.243815508716168,8,3,3.2050274780720542
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612756
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.072527139222865,7,1,3.084713862148117
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.9633259546691044,0,0,0.7659166930449518
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.906149036761797,0,0,2.0573878121338813
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821135,0,0,0.5089785537872862
redshift_band,all_z,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
redshift_band,all_z,HD,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.755095313067109,8,4,3.167113555364761
redshift_band,all_z,HD,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.2864991256177587,0,0,0.6019407677364785
redshift_band,all_z,HD,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
redshift_band,all_z,HD,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.690010882184941,8,3,3.576565269916118
redshift_band,all_z,HD,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612756
redshift_band,all_z,HD,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
redshift_band,all_z,HD,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.450038805468702,8,1,3.4452237718438994
redshift_band,all_z,HD,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.9633259546691044,0,0,0.7659166930449518
redshift_band,all_z,HD,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
redshift_band,all_z,HD,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,3.137134678972725,1,0,2.2590582156667445
redshift_band,all_z,HD,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821135,0,0,0.5089785537872862
redshift_band,all_z,HD,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
redshift_band,all_z,HEL,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,8.204487686531156,7,4,2.9431513360473844
redshift_band,all_z,HEL,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,0.7972288721017278,0,0,0.2684070164030005
redshift_band,all_z,HEL,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
redshift_band,all_z,HEL,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.951667635108402,9,3,3.3011280439651594
redshift_band,all_z,HEL,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.5663516886441647,0,0,0.2952778295953764
redshift_band,all_z,HEL,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
redshift_band,all_z,HEL,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.045631076905052,8,1,3.2137487098338187
redshift_band,all_z,HEL,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.6237577987851748,0,0,0.2707126954353716
redshift_band,all_z,HEL,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
redshift_band,all_z,HEL,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.7003886105323325,0,0,2.0992351056112875
redshift_band,all_z,HEL,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.5257120188445065,0,0,0.1931411268179682
redshift_band,all_z,HEL,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_010mmag_ds020,PantheonPlusSH0ES,survey,3,1.7005506198391678,0,0,1.3970284425557635
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_010mmag_ds020,DES_Dovekie_raw,survey,1,1.0307673792413112,0,0,1.0307673792413112
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.617233539531514,0,0,0.617233539531514
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_016mmag_ds032,PantheonPlusSH0ES,survey,3,2.2915268553439527,0,0,1.8849191618503207
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_016mmag_ds032,DES_Dovekie_raw,survey,1,0.821859999187811,0,0,0.821859999187811
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4263468523597897,0,0,0.4263468523597897
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_025mmag_ds050,PantheonPlusSH0ES,survey,3,2.612608548175095,0,0,2.1448929836853003
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_025mmag_ds050,DES_Dovekie_raw,survey,1,0.5872731855650734,0,0,0.5872731855650734
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2841741264105048,0,0,0.2841741264105048
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,3,2.212650969930981,0,0,1.793327242238394
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,1,0.3125864385156833,0,0,0.3125864385156833
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.145219641937297,0,0,0.145219641937297
redshift_band,high_z_0p50_plus,HD,budget_010mmag_ds020,PantheonPlusSH0ES,survey,3,1.7008516142330068,0,0,1.398711850399165
redshift_band,high_z_0p50_plus,HD,budget_010mmag_ds020,DES_Dovekie_raw,survey,1,1.0307673792413112,0,0,1.0307673792413112
redshift_band,high_z_0p50_plus,HD,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.617233539531514,0,0,0.617233539531514
redshift_band,high_z_0p50_plus,HD,budget_016mmag_ds032,PantheonPlusSH0ES,survey,3,2.292005165239653,0,0,1.8871518972648036
redshift_band,high_z_0p50_plus,HD,budget_016mmag_ds032,DES_Dovekie_raw,survey,1,0.821859999187811,0,0,0.821859999187811
redshift_band,high_z_0p50_plus,HD,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4263468523597897,0,0,0.4263468523597897
redshift_band,high_z_0p50_plus,HD,budget_025mmag_ds050,PantheonPlusSH0ES,survey,3,2.6132739573451627,0,0,2.147370934455397
redshift_band,high_z_0p50_plus,HD,budget_025mmag_ds050,DES_Dovekie_raw,survey,1,0.5872731855650734,0,0,0.5872731855650734
redshift_band,high_z_0p50_plus,HD,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2841741264105048,0,0,0.2841741264105048
redshift_band,high_z_0p50_plus,HD,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,3,2.2133738972167527,0,0,1.7953170542456136
redshift_band,high_z_0p50_plus,HD,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,1,0.3125864385156833,0,0,0.3125864385156833
redshift_band,high_z_0p50_plus,HD,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.145219641937297,0,0,0.145219641937297
redshift_band,high_z_0p50_plus,HEL,budget_010mmag_ds020,PantheonPlusSH0ES,survey,3,1.758127365107453,0,0,1.424782193782144
redshift_band,high_z_0p50_plus,HEL,budget_010mmag_ds020,DES_Dovekie_raw,survey,1,0.7535412046047093,0,0,0.7535412046047093
redshift_band,high_z_0p50_plus,HEL,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.617233539531514,0,0,0.617233539531514
redshift_band,high_z_0p50_plus,HEL,budget_016mmag_ds032,PantheonPlusSH0ES,survey,3,2.367361198616252,0,0,1.9235894641685016
redshift_band,high_z_0p50_plus,HEL,budget_016mmag_ds032,DES_Dovekie_raw,survey,1,0.6008197254556539,0,0,0.6008197254556539
