frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.016,-0.028764566943749903,-1.7977854339843689
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.016,-0.061323250382005146,-3.8327031488753214
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.016,-0.03792152553524943,-2.3700953459530893
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,Union3p1_UNITY1p8,dataset,0.032,-0.014578829294519582,-0.4555884154537369
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.016,-0.013226344938580409,-0.8266465586612756
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.016,-0.06890495316141168,-4.30655957258823
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.016,-0.08465490123748708,-5.290931327342943
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_150,survey,0.016,-0.02759033612769864,-1.7243960079811649
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_64,survey,0.016,-0.014116924993167376,-0.8823078120729609
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_65,survey,0.016,-0.015513144647321814,-0.9695715404576133
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.016,-0.16074159356299994,-10.046349597687495
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.016,-0.16095425974075833,-10.059641233797395
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.016,-0.1519996749604682,-9.499979685029263
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.016,-0.13205175712292538,-8.253234820182836
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.016,-0.09903739801179272,-6.189837375737045
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.016,-0.07273291147472222,-4.545806967170138
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.016,-0.0289273583022382,-1.8079598938898875
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.016,-0.04226970950188034,-2.641856843867521
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.016,-0.026271286757996715,-1.6419554223747947
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.016,-0.06964863017627991,-4.353039386017494
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.016,-0.03538091772854751,-2.2113073580342193
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.016,-0.07028764606074366,-4.392977878796478
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.016,-0.04428752193981909,-2.767970121238693
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,Union3p1_UNITY1p8,dataset,0.032,-0.07895642590593596,-2.4673883095604987
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.016,-0.01788812032140836,-1.1180075200880224
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.016,-0.0795392166126219,-4.971201038288868
