ra_deg,dec_deg,z,DH_over_rd,DM_over_rd,kind,l_deg,b_deg
36.163228571428576,6.9510930612244906,5.6533292346051466e-11,,,BAO,159.81139519567535,-49.12956770900548
32.962942857142856,7.44258448979592,5.7768067348409605e-11,,,BAO,155.19585663516847,-50.32320815170117
46.40414285714285,9.900041632653062,6.141876773389569e-11,,,BAO,168.83852204472814,-40.71694473015025
33.923028571428574,7.302158367346939,6.211241699835209e-11,,,BAO,156.5996680409906,-49.980792154499724
31.682828571428573,7.653223673469388,6.231747094936051e-11,,,BAO,153.275542511828,-50.72886423593354
43.20385714285714,10.251106938775512,6.343806557590107e-11,,,BAO,165.2696325480153,-42.42738514249025
34.883114285714285,7.1617322448979595,6.535599946146468e-11,,,BAO,157.98234453013822,-49.619633451689324
35.8432,7.02130612244898,6.908027007051978e-11,,,BAO,159.3433690311553,-49.240255282757644
36.803285714285714,6.880880000000001,7.420283566322e-11,,,BAO,160.6823260616987,-48.843187260302
32.64291428571428,7.51279755102041,7.563865068526299e-11,,,BAO,154.7059590890729,-50.412469411017824
47.0442,9.829828571428571,7.697999092678732e-11,,,BAO,169.52755088588356,-40.35864790326606
31.3628,7.723436734693879,7.771645526050984e-11,,,BAO,152.77780529878135,-50.80899203673495
42.5638,10.32132,7.792544694694917e-11,,,BAO,164.53075762990645,-42.752407368209354
33.603,7.372371428571429,8.116824064657058e-11,,,BAO,156.11613028192158,-50.076653773018435
44.803999999999995,10.04046775510204,8.236597963183486e-11,,,BAO,167.1096264590864,-41.616762069251635
34.56308571428571,7.2319453061224515,8.379592655507132e-11,,,BAO,157.50539732816844,-49.7219270198544
45.44405714285715,9.970254693877552,8.429864931265774e-11,,,BAO,167.81941127467343,-41.271569375727545
35.52317142857142,7.09151918367347,8.631880552644819e-11,,,BAO,158.87320795737418,-49.34880891652767
44.16394285714286,10.11068081632653,8.691089693031433e-11,,,BAO,166.39151081256574,-41.95641187962273
36.48325714285714,6.9510930612244906,9.003169193241691e-11,,,BAO,160.2191127053289,-48.957826518380706
