Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1
UGC08286,1,6.5,True,198.0525,44.04122222,407.118157964,72.57730806203962,True,name_coordinate_velocity,False,NGC5023,45849,46153,0.24058834718321706,0.1181579639999768,407.0,491.0,7.0,6.0,1.9459101490553132,1.0,12.42,12.207,7.74,0.297,0.0,11.53,5.61052689475109,63552.0
UGC08490,1,4.65,True,202.402125,58.41872222,200.86094686,58.005142278028586,True,name_coordinate_velocity,False,NGC5204,47368,47368,0.035380387776009756,0.13905313999998725,201.0,354.0,1.0,0.0,0.0,0.0,10.812,,4.88,0.086,0.0,10.23,5.765702603040717,63000.0
UGC08550,1,6.7,True,203.5121246,47.9148788,358.851572226,67.61238731213388,True,name_coordinate_velocity,False,NGC5229,47788,47404,0.031670878304544625,0.1484277740000266,359.0,471.0,6.0,5.0,1.791759469228055,1.0,12.685,12.19,8.14,0.364,0.0,11.53,3.0328269307621296,63552.0
UGC08699,2,39.3,True,206.2863611,41.5034103,2526.051359033285,71.89207474660795,True,name_coordinate_velocity,False,NGC5289,48749,48767,0.013470346736571994,0.05135903328482527,2526.0,2617.0,9.0,8.0,2.1972245773362196,1.0,12.861,12.348,38.68,0.416,0.0,11.704,7.905484871206474,63165.0
UGC08837,2,7.21,True,208.6908333,53.90330556,143.90037984,60.79662843161413,True,name_coordinate_velocity,False,UGC08837,49448,50063,0.0012234800465733165,3.9003798399999994,140.0,286.0,9.0,8.0,2.1972245773362196,1.0,12.025,12.775,6.84,0.219,1.9459101490553132,12.068,8.284087683745863,65001.0
UGC09037,2,83.6,True,212.121441,7.0580253,5940.087762811999,62.85174816579013,False,unmatched,False,NGC5470,50317,50317,68.28748691126059,4925.087762811999,1015.0,962.0,,,,,,,,,,,,
UGC09133,1,57.1,True,214.0322731,35.3438658,3857.129764628,70.17481316614307,False,unmatched,False,UGC09113,50853,50853,23.51591411614634,673.129764628,3184.0,3267.0,,,,,,,,,0.0,11.571,53.72931309584232,64647.0
UGC09992,2,10.7,True,235.4493917,67.25425785,426.90446019199993,42.36561427744288,True,name_coordinate_velocity,False,UGC09992,55809,55809,0.027892776743552998,3.904460191999931,423.0,651.0,1.0,0.0,0.0,0.0,10.52,,11.27,0.069,1.9459101490553132,12.068,10.199822395773744,65001.0
UGC10310,1,15.2,True,244.0760405,47.0465236,715.904395699849,45.52857179162238,True,name_coordinate_velocity,False,UGC10310,57678,57678,0.049443733810396455,0.904395699849033,715.0,917.0,1.0,0.0,0.0,0.0,11.045,,,0.103,0.0,11.516,1.8399814060822257,68285.0
UGC11455,1,78.6,True,292.4847246,72.1129945,5392.966526962,22.844916372164253,False,unmatched,False,UGC11458,63380,63380,129.54662115853313,4022.966526962,1370.0,1660.0,,,,,,,,,,,,
UGC11557,2,24.2,True,306.0027368,60.1947942,1388.0390805399998,12.814816225231695,True,name_coordinate_velocity,False,UGC11557,64616,64616,0.007857167544206288,0.03908053999975891,1388.0,1696.0,1.0,0.0,0.0,0.0,11.486,,,0.145,0.0,11.524,7.114458667010501,5354.0
UGC11820,1,18.1,True,327.3684742,14.2308537,1099.938528402,29.515615729000007,True,name_coordinate_velocity,False,UGC11820,67421,67421,0.01352173883372806,5.0614715980000256,1105.0,1361.0,1.0,0.0,0.0,0.0,10.612,,,0.074,0.0,10.845,4.299575570724431,4668293.0
UGC11914,1,16.9,True,331.9683054,31.35934611,945.0000001131604,19.707199818445854,True,name_coordinate_velocity,False,NGC7217,68096,68096,0.013276361223056013,6.999999886839646,952.0,1251.0,1.0,0.0,0.0,0.0,12.646,,,0.353,0.0,11.037,9.42075805785679,13557.0
UGC12506,2,100.6,True,349.8771127,16.074809,7237.889313494,41.38010574001954,False,unmatched,False,PGC071069,71069,71069,29.60458070422606,4303.889313494,2934.0,3180.0,,,,,,,,,,,,
UGC12632,1,9.77,True,352.4944505,40.99037714,414.99999997831566,19.311034506139748,True,name_coordinate_velocity,False,UGC12632,71596,71596,0.0069082630776813436,9.000000021684343,424.0,720.0,1.0,0.0,0.0,0.0,11.248,,,0.121,0.0,10.516,11.625420471930273,19161.0
UGC12732,1,13.2,True,355.165801,26.2365069,747.0828053359999,33.983563226816635,True,name_coordinate_velocity,False,UGC12732,72087,72237,0.024414059319214414,1.9171946640001352,749.0,1014.0,2.0,1.0,0.6931471805599453,1.0,11.455,7.14,13.91,0.141,0.0,12.212,1.88104900856557,3097142.0
UGCA442,1,4.35,True,355.9403434,-31.95669689,267.115080078,74.52938818397301,True,coordinate_velocity,False,ESO471-006,72228,72228,0.1996639009435464,0.11508007800000541,267.0,284.0,1.0,0.0,0.0,0.0,10.459,,4.37,0.066,0.6931471805599453,10.84,5.647424049172974,18431.0
UGCA444,2,0.98,True,0.4923563,-15.4610809,-130.0000000127119,73.62444047232319,True,coordinate_velocity,False,WLM,143,143,0.01778814396914647,8.000000012711894,-122.0,-29.0,1.0,0.0,0.0,0.0,10.362,,0.96,0.061,0.0,10.1,18.263264732708844,2807061.0
