probe,kind,z,log1pz,x_hht,n_in_bin,observed,sigma,joint_pull_LCDM_baocov,joint_pull_SU2_baocov_4D,joint_pull_SU2R_baocov_4D,joint_pull_SU2_wa_free_baocov,joint_delta_pull_SU2_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2R_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2_wa_free_baocov_minus_LCDM_baocov
CC,H_z,0.3802,0.3222284162043644,0.3223084162043644,1,83.0,13.54,0.256469268245409,0.1463536030117551,0.14695318915524302,0.1373969855863794,-0.1101156652336539,-0.10951607909016597,-0.11907228265902961
BAO,DM_over_rd,0.38,0.3220834991691133,0.3223234991691133,1,10.265333606310067,0.05806435806145096,-7.8194691918065,-6.896621909101747,-6.912659367085752,-6.889029407406751,0.9228472827047529,0.9068098247207486,0.9304397843997494
SN_bin,mu_binned_pull,0.3829725392711686,0.3242351965716566,0.3242351965716566,24,nan,1.0,0.4497047886378095,0.5141970952985429,0.5130943464990211,0.5148191049241835,0.06449230666073336,0.06338955786121159,0.06511431628637399
CC,H_z,0.4,0.33647223662121295,0.336552236621213,1,95.0,16.9955,-0.4500114838738568,-0.5415352178749141,-0.5411283581640992,-0.5492935887805063,-0.09152373400105729,-0.0911168742902424,-0.09928210490664946
CC,H_z,0.4004,0.3367579100983735,0.33683791009837355,1,76.97,10.18,1.0215872668347241,0.8686651154777526,0.8693418868328601,0.8556929918736643,-0.15292215135697151,-0.15224538000186405,-0.1658942749610598
SN_bin,mu_binned_pull,0.4141058406146193,0.3464974165929315,0.3464974165929315,37,nan,1.0,0.20211600900208337,0.2764418921141737,0.27535295901575163,0.27826269640992873,0.07432588311209032,0.07323695001366826,0.07614668740784536
CC,H_z,0.4247,0.3539612652410488,0.35404126524104884,1,87.08,11.24,0.12377105901162809,-0.021212042078013502,-0.02074114698247135,-0.033934179046543264,-0.1449831010896416,-0.14451220599409945,-0.15770523805817135
SN_bin,mu_binned_pull,0.4415634756587344,0.3657282715761794,0.3657282715761794,36,nan,1.0,0.4971470992209415,0.5812473732994244,0.5801608476218584,0.5841264383291375,0.08410027407848292,0.08301374840091685,0.08697933910819594
CC,H_z,0.4497,0.37135663847471473,0.37143663847471475,1,92.78,12.9,-0.2442360318169044,-0.3758457909743445,-0.37557164884264177,-0.38762028871921433,-0.1316097591574401,-0.13133561702573737,-0.14338425690230994
CC,H_z,0.47,0.3852624007906449,0.3853424007906449,1,89.0,49.6,0.03202129908529624,-0.0032262037951770505,-0.0031850794955039004,-0.0063986019251473635,-0.03524750288047329,-0.03520637858080014,-0.038419901010443604
SN_bin,mu_binned_pull,0.47184994441881595,0.3865200751775868,0.3865200751775868,20,nan,1.0,0.30702252762125276,0.40170159874898936,0.4006287458005446,0.4057095272032151,0.0946790711277366,0.09360621817929182,0.09868699958196236
CC,H_z,0.4783,0.39089277892490715,0.39097277892490717,1,80.91,9.044,1.114003515290597,0.9185448772965698,0.9187010345048973,0.9009494208316907,-0.19545863799402718,-0.19530248078569967,-0.21305409445890622
CC,H_z,0.48,0.3920420877760237,0.3921220877760237,1,97.0,62.0024,-0.0956954032656628,-0.12426894129688901,-0.12424825251942113,-0.12684088138688915,-0.02857353803122621,-0.02855284925375834,-0.031145478121226353
SN_bin,mu_binned_pull,0.5020130869631474,0.4068062663287168,0.4068062663287168,20,nan,1.0,0.5531506210627557,0.6579722602477062,0.6569275042367996,0.6630516502655595,0.10482163918495047,0.10377688317404388,0.10990102920280376
BAO,DH_over_rd,0.51,0.412109650826833,0.412269650826833,1,22.419674580845342,0.18637250408010403,-2.101311980930145,0.29134935343944574,0.29274913983844847,0.5092638291774467,2.3926613343695906,2.3940611207685936,2.6105758101075915
BAO,DM_over_rd,0.51,0.412109650826833,0.412349650826833,1,13.377778140181807,0.06999429388949063,-8.612701587633378,-7.03882557040512,-7.054030239941295,-6.959952270665723,1.5738760172282582,1.5586713476920826,1.6527493169676548
SN_bin,mu_binned_pull,0.5277755373752155,0.42381278032997216,0.42381278032997216,25,nan,1.0,0.6268996550862227,0.7175716029843876,0.7167639457920869,0.7223367854353173,0.0906719478981649,0.08986429070586421,0.09543713034909462
SN_bin,mu_binned_pull,0.5570965117396303,0.442822876633865,0.442822876633865,20,nan,1.0,0.5475789974119938,0.6409257400918196,0.640194785114696,0.6461599698336411,0.09334674267982579,0.09261578770270218,0.09858097242164732
SN_bin,mu_binned_pull,0.5835592150626057,0.4596749813479677,0.4596749813479677,25,nan,1.0,0.34388910432380304,0.44541038540040373,0.4447064888172778,0.4513429688165277,0.10152128107660069,0.10081738449347477,0.10745386449272465
CC,H_z,0.5929,0.46555625431845554,0.46563625431845557,1,103.8,12.49752,-0.5650869313067722,-0.7228817815604011,-0.7235076619156512,-0.7356007527770918,-0.15779485025362883,-0.15842073060887896,-0.17051382147031957
SN_bin,mu_binned_pull,0.6194547046305701,0.4820894905012019,0.4820894905012019,20,nan,1.0,0.5805654179608953,0.6910397891023059,0.6904003178161652,0.6977394519433502,0.11047437114141057,0.10983489985526984,0.11717403398245485
SN_bin,mu_binned_pull,0.6466227749963667,0.4987263873159683,0.4987263873159683,15,nan,1.0,0.4035819449645559,0.5084367296565997,0.5079106794929001,0.5148975682201933,0.10485478469204379,0.10432873452834424,0.11131562325563737
CC,H_z,0.6797,0.5186152060408202,0.5186952060408202,1,91.6,7.961872,1.2338271907117557,0.9752914823971517,0.9734041905343359,0.9585748826050627,-0.25853570831460404,-0.2604230001774198,-0.275252308106693
SN_bin,mu_binned_pull,0.6931851709926145,0.5266114716488496,0.5266114716488496,20,nan,1.0,0.4473916654213994,0.5582948899547505,0.55787662429455,0.5651963220667193,0.11090322453335111,0.11048495887315057,0.11780465664531992
BAO,DH_over_rd,0.7,0.5306282510621704,0.5307882510621704,1,19.729474397141736,0.1775928046883893,0.808552435327306,3.1153387905873386,3.134308232198243,3.257126949511941,2.3067863552600327,2.3257557968709373,2.448574514184635
BAO,DM_over_rd,0.7,0.5306282510621704,0.5308682510621704,1,17.67572384176586,0.11549739943863838,-7.98837458512892,-6.321707864007569,-6.327759038694358,-6.217349978937007,1.6666667211213513,1.6606155464345616,1.7710246061919133
SN_bin,mu_binned_pull,0.7273322960147044,0.546578192939809,0.546578192939809,17,nan,1.0,0.6525031305367602,0.7621855893336567,0.7618628688338757,0.768983535771818,0.10968245879689642,0.10935973829711543,0.11648040523505776
CC,H_z,0.75,0.5596157879354227,0.5596957879354226,1,98.8,33.6,0.19691805839559937,0.13461557231436197,0.1339994812811047,0.13162253138219804,-0.062302486081237396,-0.06291857711449467,-0.06529552701340133
