model,theta,chi2,posterior_weight
PATH_GAMMA2P3,0.6432137929262371,2150.608904156894,8.178653428182999e-13
PATH_GAMMA2P3,0.6434501963639377,2150.4742313809516,8.748339469566799e-13
PATH_GAMMA2P3,0.6436865998016383,2150.339763939965,9.356746444201082e-13
PATH_GAMMA2P3,0.6439230032393389,2150.205501825884,1.000643799142901e-12
PATH_GAMMA2P3,0.6441594066770395,2150.0714450306605,1.070014275105409e-12
PATH_GAMMA2P3,0.64439581011474,2149.9375935462353,1.1440764662110227e-12
PATH_GAMMA2P3,0.6446322135524406,2149.803947364573,1.223139388291481e-12
PATH_GAMMA2P3,0.6448686169901412,2149.6705064776193,1.3075318369254088e-12
PATH_GAMMA2P3,0.6451050204278418,2149.53727087732,1.3976036148093656e-12
PATH_GAMMA2P3,0.6453414238655424,2149.4042405556315,1.493726832746946e-12
PATH_GAMMA2P3,0.6455778273032429,2149.271415504511,1.59629728851321e-12
PATH_GAMMA2P3,0.6458142307409435,2149.1387957158922,1.7057359280905722e-12
PATH_GAMMA2P3,0.6460506341786441,2149.006381181741,1.8224903939266542e-12
PATH_GAMMA2P3,0.6462870376163447,2148.874171894009,1.94703666535447e-12
PATH_GAMMA2P3,0.6465234410540451,2148.742167844645,2.079880796326626e-12
PATH_GAMMA2P3,0.6467598444917457,2148.610369025597,2.2215607560630026e-12
PATH_GAMMA2P3,0.6469962479294463,2148.4787754288172,2.372648378475294e-12
PATH_GAMMA2P3,0.6472326513671469,2148.3473870462576,2.5337514265578705e-12
PATH_GAMMA2P3,0.6474690548048475,2148.2162038698802,2.7055157782360077e-12
PATH_GAMMA2P3,0.647705458242548,2148.0852258916143,2.8886277406386115e-12
PATH_GAMMA2P3,0.6479418616802486,2147.954453103426,3.083816499813807e-12
PATH_GAMMA2P3,0.6481782651179492,2147.823885497269,3.291856713833125e-12
PATH_GAMMA2P3,0.6484146685556498,2147.69352306509,3.5135712571020757e-12
PATH_GAMMA2P3,0.6486510719933504,2147.56336579884,3.749834124416353e-12
PATH_GAMMA2P3,0.6488874754310509,2147.4334136904745,4.001573503719841e-12
PATH_GAMMA2P3,0.6491238788687514,2147.3036667319466,4.2697750269764806e-12
PATH_GAMMA2P3,0.649360282306452,2147.1741249151974,4.555485209065403e-12
PATH_GAMMA2P3,0.6495966857441526,2147.0447882321896,4.859815085027349e-12
PATH_GAMMA2P3,0.6498330891818532,2146.915656674868,5.1839440569124904e-12
PATH_GAMMA2P3,0.6500694926195537,2146.786730235195,5.529123961468426e-12
PATH_GAMMA2P3,0.6503058960572543,2146.6580089051145,5.896683371205503e-12
PATH_GAMMA2P3,0.6505422994949549,2146.529492676574,6.288032141326769e-12
PATH_GAMMA2P3,0.6507787029326555,2146.4011815415392,6.704666216188601e-12
PATH_GAMMA2P3,0.6510151063703561,2146.2730754919494,7.148172709654958e-12
PATH_GAMMA2P3,0.6512515098080566,2146.1451745197664,7.620235273824125e-12
PATH_GAMMA2P3,0.6514879132457572,2146.01747861693,8.122639772442929e-12
PATH_GAMMA2P3,0.6517243166834578,2145.8899877754066,8.657280274895927e-12
PATH_GAMMA2P3,0.6519607201211584,2145.762701987147,9.226165388842833e-12
PATH_GAMMA2P3,0.6521971235588588,2145.635621244096,9.831424949265934e-12
PATH_GAMMA2P3,0.6524335269965594,2145.508745538204,1.0475317083309279e-11
PATH_GAMMA2P3,0.65266993043426,2145.3820748614326,1.1160235671172698e-11
PATH_GAMMA2P3,0.6529063338719606,2145.2556092057275,1.188871822446728e-11
PATH_GAMMA2P3,0.6531427373096612,2145.1293485630413,1.266345420394527e-11
PATH_GAMMA2P3,0.6533791407473617,2145.00329292534,1.348729380037258e-11
