model,theta,posterior_weight,high_z_chi2,high_z_logpdf,PantheonPlusSH0ES_chi2,PantheonPlusSH0ES_logpdf,DES_Dovekie_raw_chi2,DES_Dovekie_raw_logpdf,Union3p1_UNITY1p8_chi2,Union3p1_UNITY1p8_logpdf
PATH_GAMMA2P3,0.7233545583067309,1.9190864497402234e-05,957.2723583827517,204.10081943332773,146.2279380228068,95.11659763529502,798.0546401951676,87.4081221682618,12.989780164777224,21.576099629770905
PATH_GAMMA2P3,0.7235909617444315,1.983001910818156e-05,957.1700036155687,204.15199681691914,146.19111727259678,95.13500801040004,798.0083167924362,87.43128386962746,12.97056955053579,21.585704936891627
PATH_GAMMA2P3,0.723827365182132,2.0488385190656038e-05,957.0679876939906,204.20300477770832,146.15439018570808,95.15337155384441,797.962175614725,87.45435445848318,12.951421893557606,21.595278765380716
PATH_GAMMA2P3,0.7240637686198326,2.1166465061636008e-05,956.9663105951392,204.25384332713395,146.1177567555256,95.17168826893567,797.9162166504757,87.47733394060776,12.93233718913803,21.604821117590507
PATH_GAMMA2P3,0.7243001720575332,2.1864771607228777e-05,956.8649722961395,204.30451247663382,146.08121697542873,95.18995815898404,797.8704398881321,87.50022232177957,12.91331543257861,21.614331995870213
PATH_GAMMA2P3,0.7245365754952338,2.2583828421701877e-05,956.7639727741087,204.3550122376492,146.04477083880033,95.20818122729827,797.8248453161322,87.52301960777947,12.894356619176145,21.623811402571445
PATH_GAMMA2P3,0.7247729789329342,2.3324169945787615e-05,956.6633120061744,204.40534262161637,146.00841833902348,95.2263574771867,797.7794329229221,87.54572580438457,12.875460744228812,21.63325934004511
PATH_GAMMA2P3,0.7250093823706348,2.4086341603624473e-05,956.562989969458,204.45550363997452,145.9721594694799,95.24448691195846,797.7342026969407,87.56834091737528,12.856627803037458,21.642675810640792
PATH_GAMMA2P3,0.7252457858083354,2.4870899939191413e-05,956.4630066410798,204.50549530416367,145.9359942235522,95.26256953492236,797.6891546266279,87.59086495253166,12.837857790899733,21.652060816709653
PATH_GAMMA2P3,0.725482189246036,2.5678412750497735e-05,956.3633619981637,204.55531762562174,145.89992259462142,95.28060534938771,797.6442887004291,87.61329791563105,12.819150703113088,21.661414360602972
PATH_GAMMA2P3,0.7257185926837366,2.6509459223519783e-05,956.2640560178353,204.6049706157859,145.8639445760699,95.29859435866348,797.5996049067876,87.63563981245181,12.800506534977835,21.670736444670606
