# Monte Carlo summary for <z> dipole vs z (pixel shuffling)
# bcut  tag            z_mid   N_good   A_obs      A_par_obs   f_par_obs   p_A    p_|A_par|  p_|f_par|
35.0  z1p30_1p40     1.35     187  7.155e-03  6.103e-03  +0.853  0.021  0.004  0.113
35.0  z1p40_1p50     1.45     218  2.917e-03  -1.495e-03  -0.512  0.530  0.459  0.475
35.0  z1p50_1p60     1.55     166  1.410e-03  9.441e-04  +0.669  0.925  0.624  0.264
35.0  z1p60_1p70     1.65     132  1.516e-03  6.245e-04  +0.412  0.949  0.800  0.558
35.0  z1p70_1p80     1.75      88  4.196e-03  3.021e-03  +0.720  0.595  0.315  0.227
35.0  z1p80_1p90     1.85      83  2.158e-03  1.298e-03  +0.601  0.931  0.709  0.364
35.0  z1p90_2p00     1.95      46  3.442e-03  -1.264e-04  -0.037  0.829  0.975  0.965
35.0  z2p00_2p10     2.05      32  1.221e-02  -1.031e-02  -0.845  0.129  0.035  0.117
35.0  z2p10_2p20     2.15      15  1.810e-02  8.772e-04  +0.048  0.458  0.940  0.959
35.0  z2p20_2p30     2.25      14  1.042e-02  -1.214e-03  -0.117  0.789  0.885  0.848
35.0  z2p30_2p40     2.35      17  7.561e-03  -1.016e-03  -0.134  0.744  0.898  0.897
35.0  z2p40_2p50     2.45      13  1.004e-02  -3.484e-03  -0.347  0.745  0.658  0.577
