scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
disk_bulge_decoupled,NGC6195,matched_control,UGC09133,23,-0.8906477876061842,-0.7105680012145754,37.943420236821474,37.05277244921529,-1.3346420371963286,-1.312010647432961,0.5380111256413764,0.5405002823154325,1.278902144561315,1.2741700548049442,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC6674,matched_control,UGC02487,15,-2.2103772183062773,-2.5532032358519885,73.45099369501244,71.24061647670617,-1.301249857809929,-1.3999224299340558,1.8689355054328227,1.9179061147044447,1.5865526189489698,1.5370607347921486,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC02487,candidate,UGC02487,17,-0.026589847566988567,-0.11870095629812027,42.68805437337739,42.6614645258104,-0.399314786841766,-0.4709667238066505,2.0826308997908867,2.11473983368033,1.4167047007676428,1.3730542644475907,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC02885,matched_control,UGC02487,19,-0.33070042600073,-0.24099776845441134,15.971349467171436,15.640649041170706,0.499497897526372,0.47998677365756864,0.8422131192958645,0.8412088355998997,1.5572108556065247,1.5487023118433534,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC02916,matched_control,UGC06787,43,-0.3227203973968926,-0.6218993113421902,183.0133272043302,182.69060680693332,-1.6968097073253916,-1.6955086558941763,2.2468648698323217,2.2739717366958807,1.056887835343907,1.051016963055063,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC03205,matched_control,NGC5985,48,-0.4655481040226448,-0.36334902951259096,140.35888826487323,139.89334016085058,-0.3319175510164779,-0.35173840354789,1.1253720668554696,1.1296674142215024,1.991012282949273,1.979216384520458,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC03546,matched_control,UGC03580,30,0.31285848290236906,0.10239315969003648,10.125039814941816,10.437898297844185,-0.07771936933520186,-0.07311067038651041,0.9882387855656609,0.9832192102741792,0.7205406546967656,0.706739729296706,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC03580,candidate,UGC03580,47,-2.7767069767684944,-2.6967160379634976,111.21103657941553,108.43432960264704,0.3720787519933468,0.35964649447995134,0.42199717487513794,0.42308381735228323,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC05253,matched_control,UGC06787,73,1.5838156299720652,1.578418148306639,138.13081110423036,139.71462673420243,-0.06795666871257143,-0.0737914554848729,1.13646547772684,1.1441653227147877,1.1080100949846323,1.0997005310640826,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC06786,matched_control,UGC09133,45,-0.31442689955946435,0.7420251066557455,57.25893839501927,56.94451149545981,2.949759364224202,2.8960702409807535,0.5077805651537288,0.5164396815505896,0.5419478264595174,0.5527447383250135,0.0,0.0,1.0,1.0,True
