model,latent,galaxy,fraction_abs_ge_3p8,fraction_abs_ge_3p8_divergent,fraction_abs_ge_3p8_nondivergent,posterior_mean,posterior_sd,posterior_q01,posterior_q99
RAR,z_logd,UGC11914,0.0,0.0,0.0,-0.4391105372833225,0.26383722344246946,-1.0690906562781053,0.13821247378725054
RAR,z_logd,UGC12506,0.000125,0.0,0.00012504689258471927,-1.6319673786440776,0.6647892693850246,-3.0986714427525435,-0.08587320979100148
RAR,z_logd,UGC12632,0.0,0.0,0.0,-1.0645821674165645,0.2373783490682602,-1.617365674840416,-0.5206407197571624
RAR,z_logd,UGC12732,0.0,0.0,0.0,-0.694966333375109,0.17819378794139584,-1.1059808657323011,-0.3005668477623987
RAR,z_logd,UGCA442,0.0,0.0,0.0,0.411830547690417,0.7698620654540005,-1.4221050616451356,2.202747505149389
RAR,z_logd,UGCA444,0.00225,0.0,0.0022508440665249467,-1.7156930287391774,0.7375476693211578,-3.4370197507111366,-0.01680786647268154
RAR,z_logeta,CamB,0.16875,0.0,0.16881330498937103,-3.3425838912482315,0.46304028777537604,-3.9886659406704426,-2.0122772738111157
RAR,z_logeta,D512-2,0.00025,0.0,0.00025009378516943853,-0.34721315818149595,0.9475019600270137,-2.5662712235974006,1.8212473711637138
RAR,z_logeta,D564-8,0.001875,0.0,0.001875703388770789,-1.441839320133276,0.8398148291514165,-3.422068916165376,0.4772934292172543
RAR,z_logeta,D631-7,0.027125,0.0,0.02713517569088408,-2.5899109245113996,0.6784991428398683,-3.9144388243564694,-0.98823352331962
RAR,z_logeta,DDO064,0.0,0.0,0.0,-0.11633955375748073,0.9015370663741726,-2.0815578888781587,1.9537574055326676
RAR,z_logeta,DDO154,0.00075,0.0,0.0007502813555083156,-1.17591206225668,0.8450059120215936,-3.2201920762795493,0.7166741561930535
RAR,z_logeta,DDO161,0.007125,0.0,0.007127672877328998,-1.9835019678699344,0.7791324260571866,-3.731924244645943,-0.1786346285534481
RAR,z_logeta,DDO168,0.000125,0.0,0.00012504689258471927,-0.7823805310399687,0.8698053602208833,-2.8032828050670955,1.1468903176044645
RAR,z_logeta,DDO170,0.000125,0.0,0.00012504689258471927,0.08564964249365963,0.949131511609422,-2.080798149425923,2.238847163986807
RAR,z_logeta,ESO079-G014,0.0,0.0,0.0,-0.057078068257437664,0.778035500223612,-1.8402247172038162,1.73285442462255
RAR,z_logeta,ESO116-G012,0.00025,0.0,0.00025009378516943853,-1.4751636488638364,0.6500808170684953,-3.003144379419301,0.038598346640178784
RAR,z_logeta,ESO444-G084,0.00075,0.0,0.0007502813555083156,1.0545410232781596,0.9628132974491961,-1.215167364900422,3.1997252015873063
RAR,z_logeta,ESO563-G021,0.0,0.0,0.0,-0.09198533089386107,0.4306591894282423,-1.08734257706503,0.906773743509373
