parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
logd[81],0.03824927482902988,0.04934248830565525,-0.05238392979978994,0.13234151545435313,0.000552985199787248,0.0006772495174521945,7982.0971078355215,4284.880519064777,1.000533503486668
logd[82],-0.10415740006606913,0.06010046188142013,-0.21546368963049287,0.009260210087362013,0.0009327883480446302,0.0006184165789990721,4154.633802335022,5045.29889889151,0.9999267077430689
logd[83],0.23663557125833712,0.033787875312761936,0.17400047888921968,0.3018223031745947,0.0004506174182283475,0.00038564426933916196,5595.39911440093,4948.009441265981,1.00014365209426
logd[84],-0.005126192717792879,0.045252727767784204,-0.08985687494154487,0.07979636796795234,0.0003570080034271913,0.0005641980636392701,16080.73155766883,5815.772278174806,1.0000859955037886
logd[85],0.16128495623565647,0.018612188983088664,0.12774455166300128,0.18332939012191177,0.0001782851483457611,0.00025670600880142096,10621.681344683719,4865.410126696759,1.0004136756539928
logd[86],-0.2396577116091288,0.022446411168601414,-0.2806033999580553,-0.1968092458297447,0.0003114409652291414,0.00022971921869764514,4985.088404382049,5413.344073375104,1.0004744019119574
logd[87],-0.11314705981325547,0.07642173650803653,-0.24803159253948373,0.03794465783109471,0.000658664480733456,0.0010208444040404948,13861.366477256644,4846.454133573503,1.0011358909714951
logd[88],0.141286003565597,0.05549595206778008,0.0374941780453909,0.24499755326751052,0.0005201438461118608,0.0007515466976190254,11259.420253543536,4853.563882479484,1.0003191671186933
logd[89],-0.03255163251558691,0.042242208339948316,-0.1072832953547305,0.05064137847051425,0.000460698953932188,0.0005068065927330324,8394.091320828482,5798.6838475271625,1.0006564229300057
logd[90],-0.053266669836006905,0.06599691669618774,-0.18006075835215307,0.06763029221184108,0.0006757305779649852,0.0007409200936406196,9625.685543819805,5995.529199322548,1.0009389456196214
logd[91],-0.1391628835979059,0.0880083321521599,-0.31182763837088995,0.021227061171010714,0.0009308291566583121,0.0010681279074200793,9067.546648520825,5022.990975612028,1.0001957938301018
logd[92],0.022513146991645472,0.04019839790602071,-0.053050530963351106,0.09763105404836268,0.00040531072865440036,0.0005208175630700011,9806.225973086157,6330.047578010974,1.0000853869154192
logd[93],-0.2661596390879852,0.1725516057526602,-0.5838049629646455,0.06389352000285776,0.0018768849359350154,0.00209643796422877,8732.099928327321,5771.441537970622,0.9999868352535795
logd[94],0.18178740645496538,0.08869420668708781,0.014421739374512002,0.34685867112968,0.0008640876755281418,0.0011115495822224984,10604.526676361143,4793.045749262426,1.0010615909003517
logd[95],-0.02139863660412753,0.05541520321188689,-0.12390688096700221,0.08466982332997107,0.0005903042924231757,0.0007486028956690842,9143.79490563725,4747.853658736232,1.000597410824149
logd[96],0.2195963418039322,0.04459953638378918,0.1358543289024687,0.3022324940921946,0.0006362939958997098,0.0004915392865557926,4916.823980288709,5240.621089215389,1.0011264481053486
logd[97],0.41844501369650894,0.023470698282980363,0.3734981930724804,0.4629431404830896,0.00042942481587840344,0.00024523229383854547,2987.6409292971593,4340.052902775272,1.0002980399887644
logd[98],-0.15112930711621275,0.04736066082243076,-0.24226398772634972,-0.06494245949810949,0.000631936222559753,0.0005542049101808371,5611.044992193475,4530.562912065176,1.000469639367625
logd[99],0.26717641346413407,0.060494782372560896,0.15276663351508332,0.38206312084332517,0.0008132682495807035,0.0006592582459264481,5538.0604076840855,5120.220985279547,1.001183554118969
logd[100],0.19586123226072508,0.0859531248588997,0.03478243206874747,0.3569079048807509,0.0006829345633454497,0.001268876946043397,16145.827247410894,5242.228019771417,1.0015529142760533
logd[101],0.22886857648557607,0.10113567328927585,0.04318895802390573,0.4184721256700551,0.0009680674684795833,0.0012471962269438995,10972.205033400125,4432.3319952328,1.0008000162982977
logd[102],-0.13105436202021242,0.07179149457095459,-0.2716882265066863,0.0008482157969392001,0.0008522617420847769,0.0010743073024644541,7217.228043632347,4223.281845316206,1.0011463813406105
logd[103],-0.13390140645747858,0.07492625689090418,-0.2691864204767526,0.008714441288853493,0.000626898690122401,0.0008796582803464022,14534.35476287354,5652.995789567824,1.0010867757116906
logd[104],-0.1639813479750747,0.0890412393482008,-0.32634353819060996,0.002246804362950022,0.0008866980538752348,0.0009951934489917066,10149.136507294348,6422.787759139536,1.0008641191453842
logd[105],0.15430143140659452,0.03363012155376851,0.09273171862073853,0.2182288274046551,0.00057804964619074,0.0003530207940179382,3386.4858554519697,4845.366605522486,1.0000205556118567
logd[106],-0.1601378694828856,0.10309434645287041,-0.35551080396016865,0.028408895539036083,0.0008215670300372605,0.0013325509756245504,15946.485551362726,5156.4142497660505,1.000566365641417
logd[107],-0.05320391428321104,0.046728797617221395,-0.1404134022566604,0.03642312985787653,0.0004916046645855631,0.0006223936808101432,9355.7464855411,4041.6992051124776,1.0005847545595563
logd[108],0.5231857760661222,0.06481241580386382,0.4020636126323389,0.6455167741529549,0.0005271019058050152,0.000869852990561549,15316.941016228826,4960.587731699892,1.0004434708241732
logd[109],-0.21234171397461776,0.10298444065797258,-0.405841551511566,-0.019011636224667238,0.0010069360199195612,0.0012277269176215076,10565.894985891486,5331.831561202049,1.0003379000385413
logd[110],0.3627710689378021,0.0580567701897529,0.25100692743020314,0.46917977488538937,0.0005877696646887072,0.0006957144781331433,9929.135763422522,5289.198267069483,1.000191461782007
logd[111],-0.196094032258424,0.08116272112528702,-0.3486212683713805,-0.045878842088711964,0.0008656342820752542,0.0008707012763946987,8881.492779741147,6229.33337063198,1.0001678640961358
logd[112],-0.04910530852227413,0.109462978987743,-0.2548764664659313,0.15042050030239312,0.0010822606746854159,0.0012065296592528216,10341.523883957525,6189.622322202148,1.0005669519925764
logd[113],0.5282918683195483,0.08872448786907186,0.36185988600120045,0.6960262183574342,0.000909845536650903,0.0010660147018349004,9391.774606987821,5202.889919941536,0.9998975637053245
logd[114],-0.07666970570513394,0.07663770043896678,-0.2221865648391891,0.06575458789282299,0.000736134297464058,0.0010655716629434926,11072.372089712118,5233.924521694022,1.000273059927689
logd[115],0.09731198756117627,0.09059162609572376,-0.07654247937834974,0.2624302358225277,0.0007452839024603041,0.00117543744164841,14849.56470494609,5533.173268399319,1.000537856810048
logd[116],0.10048942509631031,0.06614995343127805,-0.02458982397108208,0.22258300297002795,0.0006437633895476075,0.0007664690191867839,10682.082651091865,5686.4038223776815,1.0006555195918059
logd[117],0.09778770666268388,0.07633117713738728,-0.04360206829335691,0.24372400368319042,0.0006304389724051604,0.0009732145881204559,14579.314648790105,5300.675169384923,1.000155447627078
logd[118],-0.811896661040291,0.13478837392693221,-1.0705688937234579,-0.5850168541919042,0.001663016028579836,0.0014091802160060658,6011.564860813248,4483.918159581514,1.0001753166949077
logd[119],0.39990682499302443,0.06225279340747498,0.28351939416968763,0.5154087958444621,0.0006262691192977311,0.0007031069723484807,9275.884305355592,4341.249802352257,1.0015591423221903
logd[120],0.8670998223807863,0.03774444715048696,0.7936754989221919,0.935753526178234,0.0005134575433069033,0.00041547524822316056,5360.129768673478,4271.034843119027,1.0009999117706636
logd[121],-0.07509783097429444,0.09589647285090996,-0.25644969920291605,0.10138517931673653,0.0008683288231620978,0.0011294091747843114,12142.039982249264,5412.216322973754,1.0000140022450077
logd[122],0.06883203074824099,0.08696097253945947,-0.09477140006998058,0.22911736559840826,0.0007185286282576423,0.0010865568390901435,14663.589561327386,5777.79597382562,0.9998996988612593
logd[123],-0.0369120961623314,0.09305385487824272,-0.21738015236794966,0.1302823511172714,0.0008091797933427285,0.0011529579412062653,13256.041637390077,5749.2716507156865,1.0001536059663942
logd[124],-0.10272371809040767,0.07947797685932523,-0.24708955977582248,0.05131926467459364,0.0006859587232285558,0.0011863050055009221,13852.51171062251,4753.746525328409,1.002322583396975
logd[125],0.04177058494495885,0.0709955212224414,-0.09605105785895192,0.16909192552369187,0.0006560192716887735,0.0009497570241482652,12227.162667048628,4748.738022118185,1.0000910926219988
logd[126],-0.19229965762280848,0.08412355245005508,-0.3540187131623122,-0.037960613634458094,0.0007095025354665617,0.0010020748472364962,13980.044040642375,5711.648946903637,1.0005534757343968
logd[127],-0.7748873242602945,0.06519657155127145,-0.9020318124587613,-0.659244399036588,0.0006379183828249346,0.0008389163731429581,10794.28214098045,4835.820368598391,1.000915576121569
logd[128],-0.023021707116468344,0.044321749335446275,-0.10765536086904524,0.05993320235172692,0.00035545643964895025,0.0005389111717228327,15550.638848785062,6142.974480203596,1.0003657091616858
logd[129],0.009340271123081237,0.057546261755662444,-0.09588104058823405,0.12115538061439758,0.0005852725464825282,0.0007430073114291907,9634.58497351951,5823.131394220219,1.001819407913993
logd[130],0.01991316718240481,0.1168088466212446,-0.19058663746005758,0.2428679168640225,0.0010011696243969097,0.0014898646072236575,13874.805604503234,5352.515639801949,1.0006433417085907
logd[131],-0.09496330289640323,0.11696835892308884,-0.31806651257741314,0.1208069390754052,0.001040962854471548,0.0015515214994755253,12631.745400814181,5221.074072798325,1.0003549652778871
logd[132],0.773828840874124,0.08223937997036412,0.6241804634378535,0.9300556815612375,0.0007236011810865701,0.0011499948360789635,13037.400675433755,5463.553089730792,1.000712407320859
logd[133],-0.08120322964143974,0.03956351663654433,-0.15477109765882185,-0.007221903150322164,0.00036095820489250876,0.0005466039661084554,11908.363628662764,4022.8493890851137,1.0012708193960742
logd[134],-0.07497352568208437,0.04464184280546028,-0.16180968194130313,0.0056185041223978304,0.0005375303649593285,0.0005660614531778821,6815.387091994759,3757.9972987775336,1.0010868829393602
logd[135],-0.10194985029428012,0.04501493273125741,-0.19010207872029272,-0.022374816616331113,0.0005453468987200154,0.0005983309972163521,6309.908072723626,3069.4279945846906,1.0008093204751671
