mock_id,target,z_lo,z_hi,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,amp_cv,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score
36,narrow_1p15_1p35,1.15,1.35,6,37608,76060,0.0011339688495951305,0.0005889712097715344,0.001671267354839955,0.36577247594963985,1.5676782782593521,1.3624987051622515,57.58668295536452,0.9222437077041791,0.6341969774051675
37,broad_0p95_1p45,0.95,1.45,6,95531,192357,0.0016227644610703462,0.000674954955319802,0.0031858763441190074,0.590764038327897,2.3622279237264507,1.7531558494757695,76.17047633275179,0.8247617141751825,0.7235457388420988
37,narrow_1p15_1p35,1.15,1.35,6,37712,76060,0.0006840349651394008,0.0004771819171096125,0.001063739362438735,0.30103276875007046,2.7272885725169367,1.9071228423806534,75.31199716454861,0.8395138828881034,0.8563721847808512
38,broad_0p95_1p45,0.95,1.45,6,95237,192357,0.0020517117569168078,0.001281971580261622,0.003949378132018172,0.43238375312981997,2.678339288508598,2.170183838486004,58.106039321246946,0.9288476556738735,1.0857716323150486
38,narrow_1p15_1p35,1.15,1.35,6,37781,76060,0.001651343964176187,0.0011312912657439657,0.0026944003790730195,0.3143548270829687,2.3915540271896782,2.233002874953959,53.71388846677162,0.9318167937560548,1.015886019835175
39,broad_0p95_1p45,0.95,1.45,6,95251,192357,0.001201954137506179,0.000808224921257682,0.001383750543760557,0.16509634733029918,1.3074865913909646,1.1159479778434898,54.43795018103264,0.9420617453493887,0.5574128329565459
39,narrow_1p15_1p35,1.15,1.35,6,37522,76060,0.0006733837548508994,0.0004735013549398908,0.0011826781881888078,0.35687531549049323,1.5537345351540828,1.067188406373017,67.29970788631087,0.927344174849868,0.5773665968513434
40,broad_0p95_1p45,0.95,1.45,6,95230,192357,0.0012632090211488105,0.0008641947329133048,0.0015375152889517474,0.18462481672317507,2.307253419836808,1.9719754635550968,93.39070277490227,0.8461363306253001,0.6348063175504363
40,narrow_1p15_1p35,1.15,1.35,6,37789,76060,0.0007798563829798014,0.000252429922654058,0.0012424585956192812,0.49951253810693585,1.5771209691273378,1.013472312116776,143.26250883409202,0.7122606683890053,0.26850516289778154
41,broad_0p95_1p45,0.95,1.45,6,95289,192357,0.0011192190906096121,0.0008417706865200258,0.001448008491470143,0.181320203195847,1.857840402943642,1.2848389145560823,63.377286496786326,0.9189657505783947,0.7088950923111261
41,narrow_1p15_1p35,1.15,1.35,6,37624,76060,0.0014991034801821379,0.00026809021103767195,0.003103632898484352,0.7445307740604252,2.5310770593433367,1.6900739998750447,84.84569609290692,0.830152695294249,0.7281960262961248
42,broad_0p95_1p45,0.95,1.45,6,95440,192357,0.0014259151716003503,0.0008335142349577147,0.001810827557545282,0.2219643936076718,1.6714495385999513,1.36204941062665,74.76623062497602,0.9261486993506961,0.5816371306477687
42,narrow_1p15_1p35,1.15,1.35,6,37713,76060,0.0006143871943401204,0.0003268480874485278,0.0008652087625734044,0.2709878341068634,1.4843660907244123,0.9969804125737897,145.98875774850615,0.5277338841275426,0.18456983085911605
43,broad_0p95_1p45,0.95,1.45,6,95219,192357,0.0007113369694097469,0.00038801971575231064,0.0015066049346877791,0.523311490551722,1.1825481108178069,0.8168770308375629,121.12973243814754,0.7226416448660706,0.23147652423612
43,narrow_1p15_1p35,1.15,1.35,6,37830,76060,0.0010294830944343313,0.0008736022463694242,0.0011468444832691664,0.08896148915333715,2.0294806350572148,1.4722386016261417,68.31200987660694,0.9182724068450345,0.7401044525138665
44,broad_0p95_1p45,0.95,1.45,6,95251,192357,0.0010145663790145823,0.0005403075630380863,0.002432097078592414,0.6421623013594004,1.3635900745577947,1.2232461518020346,128.40022478858995,0.6433797693766349,0.22767434179701582
44,narrow_1p15_1p35,1.15,1.35,6,37492,76060,0.000537405583827249,0.00012889231720868087,0.0014781677146248847,0.8427025308828495,1.6903209983402738,0.7850356139948675,168.375479140888,0.3665903094649947,0.13068272191689687
