mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par,max_abs_par_window_index,max_abs_par_tag,max_abs_par_bcut_deg,max_abs_par_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
166,4.200154726400992,156,z1p30_1p40,35.0,0.002016966411408485,82.38019221993613,-3.215859430563922,134.94079105337244,0.04032182079222607,156,z1p30_1p40,35.0,4.200154726400992,0.002016966411408485,82.38019221993613,-3.215859430563922,134.94079105337244,0.003743661503650267,74,z1p50_2p50,20.0,3.1475233261717843,1.0775752363241988,10.0,0.0103450343334152,10.0
167,3.700041065642727,122,z0p80_0p90,30.0,0.000861408480849314,155.0666366829576,46.7158962543313,66.74366557505498,0.03244098876944388,122,z0p80_0p90,30.0,3.700041065642727,0.000861408480849314,155.0666366829576,46.7158962543313,66.74366557505498,0.003125816996061805,158,z1p50_2p50,35.0,1.9528678334914527,1.9093689142853099,35.0,0.018330494528453055,35.0
168,3.466700650584233,153,z1p00_1p50,35.0,0.004504543964105852,257.0310675656873,9.31499662570315,39.3811028847481,0.03328133019862469,153,z1p00_1p50,35.0,3.466700650584233,0.004504543964105852,257.0310675656873,9.31499662570315,39.3811028847481,0.004551467085235969,130,z1p50_2p50,30.0,2.2582343423389615,3.466700650584233,35.0,0.03328133019862469,35.0
169,3.2409802238472123,66,z0p80_0p90,20.0,0.0009500103089398261,114.7725939826586,0.7909301539307435,124.18497226642297,0.029981016956497252,71,z1p20_1p30,20.0,3.1229283916230286,0.00085645610552669,344.47335360066995,-3.9424858786641783,86.62431021008264,0.003806823992208506,130,z1p50_2p50,30.0,2.3572789347366716,3.0427090887885,25.0,0.029210888417856486,25.0
170,3.2619265012373173,39,z0p90_1p00,15.0,0.001193428924327344,22.025992456932638,12.21849632337667,98.49134633442168,0.02984199415560157,39,z0p90_1p00,15.0,3.2619265012373173,0.001193428924327344,22.025992456932638,12.21849632337667,98.49134633442168,0.0035451131800731932,130,z1p50_2p50,30.0,1.8593046966388422,2.718435832972611,20.0,0.02609777125281574,20.0
171,3.935106041840441,27,z2p30_2p40,10.0,0.002020301174556985,103.4061127988719,-51.73192917524558,167.1044912064597,0.034002112656163506,20,z1p60_1p70,10.0,3.6327824189399145,0.0012099087173519534,175.5587990207781,-26.544424260078365,108.50800071960214,0.0033655966528078514,141,z0p10_0p30,35.0,1.7331442392251544,2.0221630832905246,35.0,0.01941335121598083,35.0
172,3.5340861122179867,23,z1p90_2p00,10.0,0.0009655213363312947,231.8329729460456,-60.29815788188981,111.64519701197965,0.03323737951940514,126,z1p10_1p20,30.0,3.484589020188664,0.0009405588760812016,312.897336820157,-10.554090013358074,72.91139929627542,0.002679212924964143,118,z0p50_0p75,30.0,2.4997852277771964,2.306433995837904,30.0,0.02214243430100557,30.0
173,3.240789194359952,98,z1p10_1p20,25.0,0.0009502179271047026,31.366656434620907,-37.20303177085489,140.6091993250466,0.030911920967224133,98,z1p10_1p20,25.0,3.240789194359952,0.0009502179271047026,31.366656434620907,-37.20303177085489,140.6091993250466,0.0026966001054638247,158,z1p50_2p50,35.0,2.2502339492038113,2.42528173764067,20.0,0.023283407040498423,20.0
174,3.7984072493505705,74,z1p50_2p50,20.0,0.005300861624908289,151.2477866557445,-24.355517747761468,122.8530485062601,0.03364513892736842,74,z1p50_2p50,20.0,3.7984072493505705,0.005300861624908289,151.2477866557445,-24.355517747761468,122.8530485062601,0.004471118029548194,130,z1p50_2p50,30.0,2.3655579128205444,3.20500117982164,25.0,0.030768939491400703,25.0
175,4.264501873763867,95,z0p90_1p00,25.0,0.0015679695301048318,45.26956150197738,-32.36120502975561,146.92657442890362,0.03901413472840065,95,z0p90_1p00,25.0,4.264501873763867,0.0015679695301048318,45.26956150197738,-32.36120502975561,146.92657442890362,0.003747648752773672,130,z1p50_2p50,30.0,2.253461616074858,2.4172066191521346,35.0,0.023205883564462303,35.0
176,3.39581864136424,60,z0p40_0p50,20.0,0.0009369367451056426,129.2295324761184,74.56859138959723,53.531999411898475,0.03060166778163007,41,z1p00_1p50,15.0,3.1875775689976305,0.0027513843200676086,77.78765640838039,-17.065452715442788,148.3985478638581,0.0031698520926440182,85,z0p10_0p30,25.0,2.3901679525623902,3.1875775689976305,15.0,0.03060166778163007,15.0
177,3.5127114618115867,66,z0p80_0p90,20.0,0.0014961409482717831,67.27580625712156,-43.232157888693244,167.31487011668543,0.033314054813038466,127,z1p20_1p30,30.0,3.4701093617565717,0.0018784829450626283,173.3483143621124,-22.261060699208787,106.85045207775846,0.0029473664137112743,130,z1p50_2p50,30.0,1.4167181192742746,3.324770537460283,25.0,0.03191876000981699,25.0
178,3.174281376336245,152,z1p00_1p10,35.0,0.0017996807450599928,155.71166761790542,-42.7465161924211,131.30165566501043,0.029824498148493167,152,z1p00_1p10,35.0,3.174281376336245,0.0017996807450599928,155.71166761790542,-42.7465161924211,131.30165566501043,0.002677708985020672,153,z1p00_1p50,35.0,2.7870182940975736,2.812644593844394,20.0,0.027002202639947098,20.0
179,3.7512527016607917,34,z0p50_0p75,15.0,0.002869165840838801,114.82677961333735,-55.180390472591924,159.89391788992128,0.027645006100585904,119,z0p60_0p70,30.0,3.7100627603818963,0.0015391639022572876,66.16958167611193,19.10973885197093,110.769237080725,0.004892412810476064,141,z0p10_0p30,35.0,2.524199458249943,2.8117173085094422,35.0,0.026993300432190667,35.0
180,3.7327558590451764,152,z1p00_1p10,35.0,0.002539523227140538,265.19186640049674,15.866531808320346,32.40077032336929,0.03507173971305724,152,z1p00_1p10,35.0,3.7327558590451764,0.002539523227140538,265.19186640049674,15.866531808320346,32.40077032336929,0.002798881290480342,102,z1p50_2p50,25.0,2.8941005369733683,2.334548921205484,20.0,0.022412345726588404,20.0
181,3.833243833182089,42,z1p10_1p20,15.0,0.0011622890988076675,10.941797513936478,-3.6041255387488365,103.9048963848952,0.03656298614721409,42,z1p10_1p20,15.0,3.833243833182089,0.0011622890988076675,10.941797513936478,-3.6041255387488365,103.9048963848952,0.004359481075246603,102,z1p50_2p50,25.0,2.33518824259715,2.0320165471391958,35.0,0.01950794732248128,35.0
182,3.7682347294074954,162,z1p80_1p90,35.0,0.002854531221106371,275.5925369435867,34.57255070450153,16.160355468711323,0.03424641323904985,162,z1p80_1p90,35.0,3.7682347294074954,0.002854531221106371,275.5925369435867,34.57255070450153,16.160355468711323,0.002889047505953319,130,z1p50_2p50,30.0,1.435054624616335,2.7044553733750214,25.0,0.025963554791951865,25.0
183,3.9283237298853226,38,z0p80_0p90,15.0,0.0012705723261261684,260.9471067749456,68.38392729356374,20.189597812786726,0.03444251124326711,38,z0p80_0p90,15.0,3.9283237298853226,0.0012705723261261684,260.9471067749456,68.38392729356374,20.189597812786726,0.0029419981212506895,130,z1p50_2p50,30.0,1.3853247305820606,2.5952550484031147,15.0,0.02491520004791746,15.0
184,3.887535875770578,139,z2p30_2p40,30.0,0.002825870575482963,342.36115967150545,36.34815040897668,56.59275691221946,0.03311235031015655,129,z1p40_1p50,30.0,3.4663285552243894,0.0019444568486160264,143.28970426387082,-34.8929588120918,134.90085871715277,0.004253786440015461,85,z0p10_0p30,25.0,3.1381650979903726,3.234941190995551,10.0,0.031056372269267322,10.0
185,3.988879400815319,118,z0p50_0p75,30.0,0.0037993807105761476,173.71343501642758,-39.7632132268453,118.68280586244933,0.03575726368261814,40,z1p00_1p10,15.0,3.8057175551238474,0.0014968776634633552,99.13788421095167,-24.707970946079545,153.61329027317657,0.005157209574901286,158,z1p50_2p50,35.0,2.112682048488896,2.513113421508465,20.0,0.024126616641596425,20.0
