tag,z_lo,z_hi,z_center,width,family,bcut_deg,N,a0,amp,l_deg,b_deg,formal_snr,rms_resid,sep_from_baseline_b35_deg,sep_from_cmb_deg,amp_ratio_vs_baseline_b35,reference_l_deg,reference_b_deg,reference_amp,reference_snr
slide_c1p30_w0p20,1.2,1.4,1.3000000000000003,0.2,width0p20,15.0,74398,1.3021809866246288,0.0009431120211512152,57.686571771453366,-71.57574184905708,2.9785738779275914,0.058888515167391464,63.95388629756474,153.69526966332833,0.30925119109915206,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p30_w0p20,1.2,1.4,1.3000000000000003,0.2,width0p20,20.0,68886,1.3022554827815107,0.0009988452248270601,42.65404469490345,-67.75036274184978,3.087250448286757,0.05886737059569287,69.94846090637712,151.6124454534101,0.32752638983905147,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p30_w0p20,1.2,1.4,1.3000000000000003,0.2,width0p20,25.0,62277,1.302356797353188,0.000975659959530638,75.03835113951882,-78.01426542591294,3.034413173153147,0.058893597125288306,59.78256131759722,150.0435719663602,0.31992382434517075,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p30_w0p20,1.2,1.4,1.3000000000000003,0.2,width0p20,30.0,55141,1.3024472256603992,0.0009755656473153399,66.13141858327211,-73.88846779657422,2.930010940472216,0.05886292522300008,61.359112759119654,153.20573940370772,0.319892898893833,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p30_w0p20,1.2,1.4,1.3000000000000003,0.2,width0p20,35.0,47860,1.3022163998564433,0.0010892715943161331,63.75695458314084,-65.30571280981255,3.038731459742421,0.05881510467793621,62.35171241133282,159.85403142221065,0.3571776527262882,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p35_w0p20,1.25,1.45,1.3500000000000003,0.2,width0p20,10.0,80164,1.3540269685871573,0.0005301293446243056,119.85401425586797,-29.40106515345615,1.4532220714284876,0.05752596751859218,22.5806851594174,146.7788444645809,0.17383208737129788,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p35_w0p20,1.25,1.45,1.3500000000000003,0.2,width0p20,15.0,76649,1.354074805400133,0.0005180670877570531,101.66926074889092,-28.401220433230712,1.3931632846793573,0.05753399063860666,38.515671080940805,155.92449025622886,0.16987681247300065,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p35_w0p20,1.25,1.45,1.3500000000000003,0.2,width0p20,20.0,71044,1.3541496472289023,0.0004579027849381388,71.66535908375886,-26.531131127739695,1.1727261780011873,0.05750356682627991,64.7899836981722,156.2332018158447,0.15014863396278727,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p35_w0p20,1.25,1.45,1.3500000000000003,0.2,width0p20,25.0,64228,1.3542525800487137,0.0002724149336442967,129.19866871267314,-65.95663391380839,0.8418965983707155,0.05742595149203898,40.45688174629608,150.7609671145565,0.08932623146915412,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p35_w0p20,1.25,1.45,1.3500000000000003,0.2,width0p20,30.0,56916,1.3542386057403966,0.0006170146249092524,87.6618316834182,-37.11116636765862,1.4998140929892174,0.05742292881376839,49.25941742443304,168.5447615003311,0.20232220923858701,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
