model,eta_fac,omega_b_h2,post_eann_baryon_density_factor,Yp_mass,D_H_1e5,He3_H_1e5,Li7_H_1e10,Li6_H_1e14,z_D_H_1e5,chi2_D_H_1e5,z_Yp_mass,chi2_Yp_mass,z_Li7_H_1e10,chi2_Li7_H_1e10,chi2_abundances_measurement,chi2_D_He,D_He_each_2sigma,D_He_Li_each_2sigma,stellar_depletion_to_plateau
SU2CMB_asymptotic,0.7799999999999998,0.017487599999999996,3.119999999999999,0.3150742535039426,1.0696232697756232,0.8012388829251258,18.818409662309335,0.0,-49.59919759394403,2460.0804019631028,23.358084501314195,545.6001115705344,69.47363864923734,4826.586467164805,7832.266980698442,3005.680513533637,False,False,12.978213560213335
SU2CMB_asymptotic,0.7999999999999998,0.017935999999999994,3.1999999999999993,0.315221640597436,1.0184357811300593,0.7913528881181705,19.552830752569278,0.0,-51.3642834093083,2638.289610151744,23.40721353247867,547.8976453550526,72.41132301027712,5243.399700098688,8429.586955605486,3186.1872555067966,False,False,13.484710863840881
SU2CMB_asymptotic,0.8199999999999998,0.018384399999999995,3.2799999999999994,0.31536480163738856,0.9704151083538705,0.7819072293985905,20.28004544391828,0.0,-53.020168677452745,2811.138286585541,23.45493387912952,550.1339232743378,75.32018177567312,5673.129782720442,9034.40199258032,3361.272209859879,False,False,13.98623823718502
SU2CMB_asymptotic,0.8399999999999999,0.018832799999999997,3.3599999999999994,0.3155040497278507,0.9252260969814645,0.7728640795013804,20.999497610577322,0.0,-54.578410448915015,2978.802887130236,23.50134990928356,552.3134475585824,78.19799044230929,6114.925709215495,9646.042043904314,3531.1163346888184,False,False,14.482412145225739
SU2CMB_asymptotic,0.8599999999999999,0.019281199999999995,3.4399999999999995,0.315639847278263,0.8828936187778101,0.7643035344156446,21.706576975747065,0.0,-56.03815107662724,3140.2743760868984,23.546615759421,554.4431137218135,81.02630790298826,6565.262572389858,10259.98006219857,3694.717489808712,False,False,14.970053086722114
SU2CMB_asymptotic,0.8799999999999998,0.019729599999999993,3.519999999999999,0.3157720803003408,0.8428965922833752,0.7560118899364908,22.411476994201696,0.0,-57.41735888678016,3296.7531015333125,23.59069343344694,556.5208166708766,83.84590797680679,7030.136284455151,10883.410202659341,3853.273918204189,False,False,15.456191030483929
SU2CMB_asymptotic,0.8999999999999998,0.020177999999999995,3.599999999999999,0.31590098754102575,0.8050552141136923,0.7480440153776787,23.109192222276132,0.0,-58.72223399607957,3448.3007654903226,23.63366251367525,558.5500038102988,86.63676888910453,7505.929723544111,11512.780492844733,4006.8507693006213,False,False,15.937373946397333
SU2CMB_asymptotic,0.9199999999999998,0.020626399999999996,3.6799999999999993,0.31602686119221557,0.76928409083271,0.7404108869477884,23.80249358995664,0.0,-59.955721005768616,3594.6884813215643,23.67562039740519,560.5350012020286,89.40997435982656,7994.1435150248435,12149.366997548437,4155.223482523593,False,False,16.415512820659753
SU2CMB_asymptotic,0.9399999999999998,0.021074799999999994,3.7599999999999993,0.316149700525667,0.7354802002288031,0.7330341911141316,24.48575089042148,0.0,-61.12137240590334,3735.822164781122,23.716566841888998,562.4755427657886,92.14300356168592,8490.333105368863,12788.630812915773,4298.297707546911,False,False,16.886724752014814
SU2CMB_asymptotic,0.9599999999999999,0.021523199999999996,3.8399999999999994,0.3162695027032801,0.703385782765776,0.725976277308595,25.1614296047259,0.0,-62.22807645635255,3872.333499457658,23.75650090109336,564.3713350636497,94.8457184189036,8995.71030239795,13432.415136919259,4436.704834521308,False,False,17.35271007222476
