model,time_s,scale_factor,T_gamma_MeV,T_nu_MeV,T_nu_over_T_gamma,H_s_inv,rho_gamma_MeV4,rho_extra_MeV4,neff_linx_diagnostic,a_Tgamma_over_T0
SU2CMB_asymptotic,0.20492926915136211,7.733094437390167e-11,1.6978685410706185,1.6970018673192153,0.9994895519114474,2.4339603713457585,5.467952493382983,16.40385748014895,32.370485516193405,0.559034100340731
SU2CMB_asymptotic,0.22489091809013897,8.100115475616933e-11,1.621079858201367,1.6201315381729513,0.9994150072103987,2.2185255438437403,4.54387238101074,13.63161714303222,32.36205869235531,0.5590833317799201
SU2CMB_asymptotic,0.24485256702891584,8.451233558770455e-11,1.553867441270536,1.5528400222820704,0.9993387988182406,2.038136484821972,3.835874182386625,11.507622547159874,32.35354602143621,0.5591328332743497
SU2CMB_asymptotic,0.2648142159676927,8.788354911655976e-11,1.4943939654196146,1.493289873343009,0.9992611773721293,1.8848847872930257,3.2814735416511254,9.844420624953376,32.34495979044919,0.559182558789825
SU2CMB_asymptotic,0.2866623224275414,9.143121081502258e-11,1.4365495738561966,1.435364310982923,0.9991749237932027,1.741565807472067,2.8021472734047177,8.406441820214154,32.33549338767609,0.5592371495172969
SU2CMB_asymptotic,0.3085104288873901,9.484648956436208e-11,1.3849574459168723,1.3836933706370143,0.9990872822240244,1.6185090234728874,2.4207737667427534,7.26232130022826,32.3259544151692,0.5592920107559932
SU2CMB_asymptotic,0.3303585353472388,9.814320643625071e-11,1.338567013814898,1.3372266950727107,0.9989986913405499,1.5117006307875358,2.112364987391397,6.337094962174191,32.31636372305518,0.5593469648844294
SU2CMB_asymptotic,0.3550753580867913,1.0174434066318124e-10,1.2913336703189617,1.2899098437817287,0.9988973984261702,1.4066886731883033,1.829626265879614,5.488878797638842,32.30545556819822,0.5594092733217308
SU2CMB_asymptotic,0.38913342110724447,1.065075706547319e-10,1.23377246704511,1.23223791896047,0.9987562146784525,1.2838129055056593,1.5245749630828709,4.573724889248613,32.290336868066134,0.5594953453499826
SU2CMB_asymptotic,0.42319148412769764,1.1106716396877764e-10,1.183305158562458,1.1816646765069243,0.998613644127499,1.180688005151499,1.290017249613406,3.8700517488402175,32.27513975699576,0.5595815217894582
SU2CMB_asymptotic,0.4678756487059455,1.1678029936056294e-10,1.1256430561158646,1.1238700111359414,0.998424860376218,1.0681306285167458,1.0563583578601858,3.1690750735805575,32.25510233530175,0.5596947142526515
SU2CMB_asymptotic,0.5070955446735408,1.2157433472957563e-10,1.0814477127467508,1.0795636733722784,0.9982578543999255,0.9856650931217505,0.8999753037305326,2.6999259111915976,32.23743951760123,0.5597941463267627
SU2CMB_asymptotic,0.5488894030037276,1.2648373648918267e-10,1.0396687231526163,1.0376713150102932,0.9980788032785421,0.9107440245427885,0.7687557951496798,2.3062673854490394,32.21855413044252,0.5599001584995018
SU2CMB_asymptotic,0.6129185073655063,1.336568051037932e-10,0.9841572498849092,0.9819950631072574,0.9978030068082061,0.8157614987318952,0.617257635267602,1.851772905802806,32.189530896457065,0.5600625022126876
SU2CMB_asymptotic,0.6769476117272851,1.4046525476483047e-10,0.9367256523887418,0.9344081152840862,0.9975259169013406,0.7387309025756118,0.5065917825648998,1.5197753476946994,32.160427594298405,0.5602246958148529
SU2CMB_asymptotic,0.748929273945,1.4774653955982266e-10,0.8908510590961501,0.8883687041591938,0.9972135017278029,0.6678468712042211,0.41440872348655555,1.2432261704596668,32.127650762311475,0.5604067312863587
SU2CMB_asymptotic,0.8273270586509525,1.5529045432344153e-10,0.8478732189177001,0.8452216699894509,0.9968727058844554,0.6046666417405435,0.34004168333375523,1.0201250500012657,32.09191586793631,0.5606045302221354
SU2CMB_asymptotic,0.9136021059227953,1.6319154368139037e-10,0.8071349359634762,0.8043079536884897,0.9964975097111713,0.5476615880401764,0.27924992751974914,0.8377497825592475,32.052578570863595,0.5608215855258312
