scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06930,10,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,0,3.2862601528904634e-14,7.99874809635529,7.174307444076579,0.8244406522787109,-0.09347496697772803,-0.6730197622396418,0.9107608162366337,0.1523739339408169,1.1645956368574888,0.1523739339408169,1.1645956368574888,0.0,0.0,32.0,0.0,1.0
baseline,RAR,UGC06983,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,2,2.220446049250313e-12,15.894799702059986,12.67426618211293,3.2205335199470553,0.049826763048071654,0.3587526939461159,1.0510889931495968,0.43959000959228045,1.5520707539268521,0.43959000959228045,1.5520707539268521,0.0,0.0,49.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06983,17,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,2.1795898419441073e-12,15.67256327188499,12.597223657321363,3.0753396145636254,0.049084593602117865,0.3534090739352486,1.05030919642035,0.4294212413982231,1.5363680799447772,0.4294212413982231,1.5363680799447772,0.0,0.0,49.0,0.0,1.0
baseline,RAR,UGC07089,12,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,5,4.3369752233957115e-12,6.458795901438234,2.9490068087476553,3.5097890926905784,-0.1834249848671449,-1.3206598910434433,0.8324143170664283,-0.33219408341356893,0.7173480839780466,-0.33219408341356893,0.7173480839780466,0.0,0.0,80.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07089,12,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,1,4.9649173661237e-13,6.656600735941611,2.9938085401949994,3.6627921957466114,-0.18855073849290344,-1.3575653171489046,0.8281584828593151,-0.33725070472693286,0.7137298820156888,-0.33725070472693286,0.7137298820156888,0.0,0.0,80.0,0.0,1.0
baseline,RAR,UGC07125,13,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,3.673505943879718e-12,19.628511165866403,9.570310143208513,10.05820102265789,-0.7673864556094562,-2.964827256249451,0.46422475622902737,0.2815138055293917,1.3251342903756356,0.2815138055293917,1.3251342903756356,0.0,0.0,90.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07125,13,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,5.581313189395587e-12,19.415970533223998,9.376224778513379,10.039745754710621,-0.7708645892252729,-2.976499636858463,0.46261292520584046,0.27159202704747,1.3120516105366342,0.27159202704747,1.3120516105366342,0.0,0.0,90.0,0.0,1.0
baseline,RAR,UGC07151,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,5,1.1622702800195839e-11,10.376522442867994,10.14680799954405,0.22971444332394486,-0.02168772731359292,-0.43821966660112754,0.9785457604584981,0.04852703314129498,1.0497237487671855,0.04852703314129498,1.0497237487671855,0.0,0.0,90.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07151,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,1,3.730349362740526e-14,10.268111797555484,10.049063558282127,0.21904823927335804,-0.02183811718991664,-0.44125842674919796,0.9783986081479918,0.03900259614450422,1.0397731830480885,0.03900259614450422,1.0397731830480885,0.0,0.0,90.0,0.0,1.0
baseline,RAR,UGC07261,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,7,1.709743457922741e-13,2.947683519520816,2.7997104602465273,0.1479730592742889,0.03683266513206465,-0.26413168706896456,1.0375193931409468,0.06991401467176997,1.0724159652508904,0.06991401467176997,1.0724159652508904,0.0,0.0,30.0,0.0,1.0
