Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
UGC04278,combined_conventional,25,True,True,10.924328943615617,10.739238538003066,-0.1850904056125504,-0.007403616224502017,-0.007376343983980805
UGC04325,combined_conventional,8,True,True,8.821068127680112,8.733721417251125,-0.0873467104289869,-0.010918338803623362,-0.010859164079331629
UGC04499,combined_conventional,9,True,True,3.1365201310219586,3.151851368517868,0.015331237495909367,0.0017034708328788185,0.0017020215720551864
UGC05005,combined_conventional,11,True,True,1.7910353169587547,1.8387810997427083,0.04774578278395358,0.004340525707632144,0.0043311327962298075
UGC05253,combined_conventional,73,True,True,39.73086289731849,40.02699707572812,0.2961341784096305,0.0040566325809538424,0.004048426631866371
UGC05414,combined_conventional,6,True,True,1.2650522292972788,1.3035894838151134,0.03853725451783463,0.0064228757529724385,0.006402336984895796
UGC05716,combined_conventional,12,True,True,2.7133517530280593,2.6798245207859868,-0.03352723224207255,-0.0027939360201727124,-0.0027900402356251766
UGC05721,combined_conventional,23,True,True,10.502549536792552,10.566515318776185,0.06396578198363301,0.002781120955810131,0.002777260794319122
UGC05750,combined_conventional,11,True,True,5.021563947763663,5.091349966733187,0.0697860189695243,0.006344183542684027,0.0063241439223006195
UGC05764,combined_conventional,10,True,True,6.6456951005841525,6.586954640088005,-0.05874046049614723,-0.005874046049614723,-0.005856861105049501
UGC05829,combined_conventional,11,True,True,1.3602940239017105,1.2665045432830715,-0.09378948061863901,-0.008526316419876273,-0.008490172687314156
UGC05918,combined_conventional,8,True,True,1.396016451560158,1.3826413947393064,-0.013375056820851716,-0.0016718821026064645,-0.0016704860635158745
UGC05986,combined_conventional,15,True,True,8.071735005339988,8.100879141603285,0.02914413626329626,0.0019429424175530841,0.0019410573462624995
UGC05999,combined_conventional,5,True,True,6.2308580385615775,6.1856615639695605,-0.04519647459201703,-0.009039294918403407,-0.008998685031793406
UGC06399,combined_conventional,9,True,True,1.5977339067106666,1.5738027066581062,-0.023931200052560442,-0.0026590222280622714,-0.002655493282769383
UGC06446,combined_conventional,17,True,True,5.218589248408579,5.123416406865702,-0.09517284154287697,-0.005598402443698645,-0.005582789632832255
UGC06628,combined_conventional,7,True,True,5.065137746841751,5.075937958792265,0.010800211950513727,0.001542887421501961,0.0015416983935712856
UGC06667,combined_conventional,9,True,True,11.988460351755803,11.758998110001006,-0.22946224175479735,-0.02549580463942193,-0.025176207482848434
UGC06786,combined_conventional,45,True,True,21.12641851218151,21.099605038418723,-0.02681347376278609,-0.0005958549725063575,-0.0005956775214188034
UGC06818,combined_conventional,8,True,True,8.78646294867447,8.854023066233887,0.06756011755941671,0.008445014694927089,0.008409555056573434
UGC06917,combined_conventional,11,True,True,2.850293853286115,2.8158527534985875,-0.034441099787527296,-0.0031310090715933906,-0.0031261176700457384
UGC06923,combined_conventional,6,True,True,2.338427104972204,2.358902336526442,0.020475231554237805,0.0034125385923729676,0.0034067290955537505
UGC06930,combined_conventional,10,True,True,4.06267497384604,4.031032808281178,-0.03164216556486199,-0.003164216556486199,-0.0031592209586063192
UGC06983,combined_conventional,17,True,True,8.293070050785166,8.233785722867786,-0.05928432791738025,-0.0034873134069047206,-0.0034812468294524936
UGC07089,combined_conventional,12,True,True,2.7551387442622195,2.8445535642667177,0.08941482000449819,0.007451235000374849,0.007423611682547529
UGC07125,combined_conventional,13,True,True,8.111736582228044,8.08194081665781,-0.029795765570234778,-0.0022919819669411368,-0.0022893593827853567
UGC07151,combined_conventional,11,True,True,3.2830294995391696,3.2599783320906903,-0.023051167448479237,-0.0020955606771344763,-0.0020933680525096685
UGC07261,combined_conventional,7,True,True,1.7943921485622172,1.7700064015317762,-0.02438574703044094,-0.0034836781472058487,-0.003477624196425734
UGC07323,combined_conventional,10,True,True,1.5264049154202324,1.5809545148726787,0.05454959945244631,0.0054549599452446305,0.005440135537839096
UGC07608,combined_conventional,8,True,True,1.6214433975264875,1.6190144668306663,-0.0024289306958211743,-0.0003036163369776468,-0.0003035702548648925
UGC07690,combined_conventional,7,True,True,1.9428276002459528,1.9482692744152417,0.005441674169288868,0.0007773820241841241,0.0007770800192836805
UGC08286,combined_conventional,17,True,True,6.68672503465786,6.605348350946375,-0.08137668371148443,-0.0047868637477343785,-0.004775443146870065
UGC08550,combined_conventional,11,True,True,1.6413424346884313,1.5920687495506536,-0.049273685137777745,-0.004479425921616159,-0.0044694231533050875
UGC08699,combined_conventional,41,True,True,10.66738139529601,10.499742031638004,-0.16763936365800625,-0.004088764967268445,-0.004080428683467391
UGC08837,combined_conventional,8,True,True,6.936927471700891,7.122675189631097,0.18574771793020606,0.023218464741275757,0.022953017192063642
UGC09992,combined_conventional,5,True,True,1.8289695148074194,1.8342984038737353,0.0053288890663159005,0.00106577781326318,0.0010652102753000102
UGC10310,combined_conventional,7,True,True,2.4624690368364255,2.4103366478384807,-0.05213238899794481,-0.007447484142563544,-0.007419888559617653
